ConceptID	Active	FSN	USPreferredTerm
2651006	1	Closed traumatic dislocation of elbow joint (disorder)	Closed traumatic dislocation of elbow joint
2667000	1	Absent (qualifier value)	Absent
2688009	1	Tristan da Cunhans (ethnic group)	Tristan da Cunhans
2705002	1	Arsenic-72 (substance)	Arsenic-72
2720008	1	Hututu (ethnic group)	Hututu
2733002	1	Heel pain (finding)	Heel pain
2739003	1	Endometrial structure (body structure)	Endometrial structure
2748008	1	Spinal cord structure (body structure)	Spinal cord structure
2776000	1	Delirium (disorder)	Delirium
2785000	1	Genus Enterococcus (organism)	Genus Enterococcus
2799001	1	Methylbenzethonium chloride (substance)	Methylbenzethonium chloride
2812003	1	Structure of head of femur (body structure)	Structure of head of femur
2815001	1	Sexual pyromania (disorder)	Sexual pyromania
2841007	1	Structure of renal artery (body structure)	Structure of renal artery
2852001	1	Bhutanese (ethnic group)	Bhutanese
2858002	1	Puerperal sepsis (disorder)	Puerperal sepsis
2861001	1	Entire gland (organ) (body structure)	Entire gland (organ)
2864009	1	Rotavirus group E (organism)	Rotavirus group E
2869004	1	Acetic acid (substance)	Acetic acid
2897005	1	Immune thrombocytopenia (disorder)	Immune thrombocytopenia
2901004	1	Melena (disorder)	Melena
2904007	1	Male infertility (disorder)	Male infertility
2910007	1	Discharge from penis (finding)	Discharge from penis
2929001	1	Occlusion of artery (disorder)	Occlusion of artery
2942001	1	Carbon (14-C) xylose (substance)	Carbon (14-C) xylose
2985005	1	Paget's disease, mammary (morphologic abnormality)	Paget's disease, mammary
2999009	1	Injury of ear (disorder)	Injury of ear
3006004	1	Disturbance of consciousness (finding)	Disturbance of consciousness
3027009	1	Barium-133 (substance)	Barium-133
3040004	1	Technetium (99m-Tc) disofenin (substance)	Technetium (99m-Tc) disofenin
3058005	1	Peripheral nervous system structure (body structure)	Peripheral nervous system structure
3092008	1	Staphylococcus aureus (organism)	Staphylococcus aureus
3099004	1	Romney marsh sheep (organism)	Romney marsh sheep
3110003	1	Acute otitis media (disorder)	Acute otitis media
3120008	1	Pleural membrane structure (body structure)	Pleural structure
3128001	1	Legionella israelensis (organism)	Legionella israelensis
3133002	1	Patient discharge, deceased, autopsy (procedure)	Patient discharge, deceased, autopsy
3135009	1	Otitis externa (disorder)	Otitis externa
3158007	1	Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in partial remission (disorder)	Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in partial remission
3159004	1	Structure of costocervical trunk (body structure)	Structure of costocervical trunk
3194006	1	Endocardium of right atrium (body structure)	Endocardium of right atrium
3199001	1	Sprain of shoulder (disorder)	Sprain of shoulder
3200003	1	Sacrocoxalgia (finding)	Sacrocoxalgia
3216001	1	Lincoln red cattle breed (organism)	Lincoln red cattle
3218000	1	Mycosis (disorder)	Mycosis
3227004	1	Left coronary artery main stem (body structure)	Left coronary artery main stem
3228009	1	Closed fracture of shaft of radius (disorder)	Closed fracture of shaft of radius
3236000	1	Structure of posterior segment of right upper lobe of lung (body structure)	Structure of posterior segment of right upper lobe of lung
3238004	1	Pericarditis (disorder)	Pericarditis
3243006	1	Structure of parametrial lymph node (body structure)	Structure of parametrial lymph node
3253007	1	Discoloration of skin (finding)	Discoloration of skin
3260001	1	Duroc pig (organism)	Duroc pig
3282008	1	Welders' keratitis (disorder)	Welders' keratitis
3289004	1	Anisometropia (disorder)	Anisometropia
3291007	1	Closed fracture of two ribs (disorder)	Closed fracture of two ribs
3305006	1	Disorder of lymphatic vessel (disorder)	Disorder of lymphatic vessel
3321001	1	Renal abscess (disorder)	Renal abscess
3325005	1	Lipopolysaccharide (substance)	Lipopolysaccharide
3345002	1	Idiopathic osteoporosis (disorder)	Idiopathic osteoporosis
3347005	1	Dandie Dinmont terrier (organism)	Dandie dinmont terrier
3351007	1	Genus Anaplasma (organism)	Anaplasma
3353005	1	Pueblo (ethnic group)	Pueblo
3354004	1	Havana brown cat (organism)	Havana brown cat
3415004	1	Cyanosis (finding)	Cyanosis
3418002	1	Chondrectomy of spine (procedure)	Discectomy of spine
3424008	1	Tachycardia (finding)	Tachycardia
3430008	1	Radiation therapist (occupation)	Radiation therapist
3457005	1	Patient referral (procedure)	Patient referral
3468005	1	Neonatal infective mastitis (disorder)	Neonatal infective mastitis
3502005	1	Cervical lymphadenitis (disorder)	Cervical lymphadenitis
3515001	1	Replacement of electronic heart device, pulse generator (procedure)	Replacement of electronic heart device, pulse generator
3528008	1	Restricted carbohydrate fat controlled diet (finding)	Restricted carbohydrate fat controlled diet
3545003	1	Diastolic dysfunction (finding)	Diastolic dysfunction
3548001	1	Brachial plexus disorder (disorder)	Brachial plexus disorder
3566006	1	Southdown sheep (organism)	Southdown sheep
3577000	1	Retinal lattice degeneration (disorder)	Retinal lattice degeneration
3583002	1	Caudal (qualifier value)	Caudal
3589003	1	Syphilitic pericarditis (disorder)	Syphilitic pericarditis
3653002	1	Balinese cat (organism)	Balinese cat
3674001	1	Siberian huskie (organism)	Siberian huskie
3677008	1	Academic problem (finding)	Academic problem
3696007	1	Nonulcer dyspepsia (disorder)	Nonulcer dyspepsia
3698008	1	Micronesians (ethnic group)	Micronesians
3699000	1	Transverse deficiency of upper limb (disorder)	Transverse deficiency of upper limb
3704008	1	Diffuse endocapillary proliferative glomerulonephritis (disorder)	Diffuse endocapillary proliferative glomerulonephritis
3713005	1	Release for de Quervain's tenosynovitis of hand (procedure)	Release for de Quervain's tenosynovitis of hand
3716002	1	Goiter (disorder)	Goiter
3723001	1	Arthritis (disorder)	Arthritis
3738000	1	Viral hepatitis (disorder)	Viral hepatitis
3744001	1	Hyperlipoproteinemia (disorder)	Hyperlipoproteinemia
3754002	1	Dysplasia of vagina (disorder)	Dysplasia of vagina
3818007	1	Senegalese (ethnic group)	Senegalese
3829006	1	Iron (substance)	Iron
3839000	1	Lipid-rich carcinoma (morphologic abnormality)	Lipid-rich carcinoma
3855007	1	Disorder of pancreas (disorder)	Disorder of pancreas
3885002	1	ABO isoimmunization affecting pregnancy (disorder)	ABO isoimmunization affecting pregnancy
3895009	1	Application of dressing (procedure)	Application of dressing
3898006	1	Neoplasm, benign (morphologic abnormality)	Neoplasm, benign
3900008	1	Mixed sensory-motor polyneuropathy (disorder)	Mixed sensory-motor polyneuropathy
3903005	1	Traumatic pneumothorax without open wound into thorax (disorder)	Traumatic pneumothorax without open wound into thorax
3916005	1	Structure of occipital lymph node (body structure)	Structure of occipital lymph node
3921008	1	Airedale terrier (organism)	Airedale terrier
3924000	1	Structure of pericardiophrenic artery (body structure)	Structure of pericardiophrenic artery
3932008	1	Copper-64 (substance)	Copper-64
3937002	1	Structure of entorhinal cortex (body structure)	Structure of entorhinal cortex
3951002	1	Proctitis (disorder)	Proctitis
3954005	1	Lacrimal sac structure (body structure)	Lacrimal sac structure
3960005	1	Olfactory tract structure (body structure)	Olfactory tract structure
3972004	1	Primary insomnia (disorder)	Primary insomnia
3974003	1	Contact with sharp leaves (event)	Contact with sharp leaves
3995008	1	Manx (organism)	Manx
3997000	1	Pony (organism)	Pony
4009004	1	Lower urinary tract infectious disease (disorder)	Lower urinary tract infectious disease
4019005	1	Structure of posterior commissure of labia majora (body structure)	Structure of posterior commissure of labia majora
4042003	1	Somali cat (organism)	Somali cat
4046000	1	Degenerative spondylolisthesis (disorder)	Degenerative spondylolisthesis
4064007	1	Specimen aliquoting (procedure)	Specimen aliquoting
4073004	1	Palauans (ethnic group)	Palauans
4082005	1	Syphilitic myocarditis (disorder)	Syphilitic myocarditis
4103001	1	Complex partial seizure with impairment of consciousness (disorder)	Complex partial seizure with impairment of consciousness
4106009	1	Rotator cuff syndrome (disorder)	Rotator cuff syndrome
4120002	1	Bronchiolitis (disorder)	Bronchiolitis
4127004	1	Prostatic obstruction (disorder)	Prostatic obstruction
4147007	1	Mass (morphologic abnormality)	Mass
4199009	1	18p partial trisomy syndrome (disorder)	18p partial trisomy syndrome
4210003	1	Ocular hypertension (disorder)	Ocular hypertension
4223005	1	Parkinsonism caused by drug (disorder)	Parkinsonism due to drug
4241002	1	Listeriosis (disorder)	Listeriosis
4258007	1	Structure of posterior tibial vein (body structure)	Structure of posterior tibial vein
4264000	1	Chronic pericoronitis (disorder)	Chronic pericoronitis
4273008	1	Closed posterior dislocation of elbow (disorder)	Closed posterior dislocation of elbow
4298009	1	Shigella sonnei (organism)	Shigella sonnei
4299001	1	Marathas (ethnic group)	Marathas
4307007	1	Pregestational diabetes mellitus AND/OR impaired glucose tolerance, modified White class F (disorder)	Pregestational diabetes mellitus AND/OR impaired glucose tolerance, modified White class F
4317002	1	Structure of spinalis muscle (body structure)	Structure of spinalis muscle
4322002	1	Military field hospital (environment)	Military field hospital
4356008	1	Gingival recession (disorder)	Gingival recession
4373005	1	Clubbing of nail (disorder)	Clubbing of nail
4382004	1	Centrally acting hypotensive agent (product)	Centrally acting hypotensive agent
4386001	1	Bronchospasm (finding)	Bronchospasm
4406004	1	Congenital anomaly of male genital system (disorder)	Congenital anomaly of male genital system
4412009	1	Injury of digital nerve (disorder)	Injury of digital nerve
4432005	1	Structure of ductus arteriosus (body structure)	Structure of ductus arteriosus
4447001	1	Autopsy, gross and microscopic examination, stillborn or newborn without central nervous system (procedure)	Autopsy, gross and microscopic examination, stillborn or newborn without CNS
4473006	1	Migraine with aura (disorder)	Migraine with aura
4483005	1	Syphilitic punched out ulcer (disorder)	Syphilitic punched out ulcer
4506002	1	Educational problem (finding)	Educational problem
4512007	1	Group sex play (finding)	Group sex play
4521008	1	Fall from cliff (event)	Fall from cliff
4525004	1	Emergency department patient visit (procedure)	Emergency department patient visit
4550001	1	Special infant formula (finding)	Special infant formula
4554005	1	Intraventricular conduction defect (disorder)	Intraventricular conduction defect
4556007	1	Gastritis (disorder)	Gastritis
4557003	1	Preinfarction syndrome (disorder)	Preinfarction syndrome
4563007	1	Hospital admission, transfer from other hospital or health care facility (procedure)	Hospital admission, transfer from other hospital or health care facility
4568003	1	Retrosternal pain (finding)	Retrosternal pain
4574003	1	Shropshire sheep (organism)	Shropshire sheep
4578000	1	Skin structure of posterior surface of thigh (body structure)	Skin structure of posterior surface of thigh
4596009	1	Laryngeal structure (body structure)	Laryngeal structure
4598005	1	Osteomalacia (disorder)	Osteomalacia
4619009	1	Generalized-onset seizures (disorder)	Generalized-onset seizures
4625008	1	Apical pulse taking (procedure)	Apical pulse taking
4631006	1	Tubular adenocarcinoma (morphologic abnormality)	Tubular adenocarcinoma
4649006	1	Toxoplasma gondii (organism)	Toxoplasma gondii
4656000	1	Alcian blue 8GX stain (substance)	Alcian blue 8GX stain
4658004	1	Skin structure of nuchal region (body structure)	Skin structure of nuchal region
4661003	1	Calculus of bile duct with obstruction (disorder)	Calculus of bile duct with obstruction
4668009	1	Genus Yersinia (organism)	Yersinia
4683004	1	Living condition (observable entity)	Living condition
4693006	1	Chromium (51-Cr) albumin (substance)	Chromium (51-Cr) albumin
4711003	1	Congenital anomaly of bile ducts (disorder)	Congenital anomaly of bile ducts
4716008	1	Entamoeba histolytica (organism)	Entamoeba histolytica
4740000	1	Herpes zoster (disorder)	Herpes zoster
4751000	1	Leisure physical activity (observable entity)	Leisure physical activity
4754008	1	Gynecomastia (disorder)	Gynecomastia
4770005	1	Colporrhaphy for repair of urethrocele (procedure)	Colporrhaphy for repair of urethrocele
4776004	1	Lichen planus (disorder)	Lichen planus
4779006	1	Cryptosporidium muris (organism)	Cryptosporidium muris
4787007	1	Fetal or neonatal effect of breech delivery and extraction (disorder)	Fetal or neonatal effect of breech delivery and extraction
4788002	1	Closed fracture of zygoma (disorder)	Closed fracture of zygoma
4800001	1	Pyuria (finding)	Pyuria
4821001	1	Contusion of cheek (disorder)	Contusion of cheek
4832001	1	Technetium (99m-Tc) mebrofenin (substance)	Technetium (99m-Tc) mebrofenin
4834000	1	Typhoid fever (disorder)	Typhoid fever
4851007	1	Chronic endocarditis (disorder)	Chronic endocarditis
4853005	1	Dry coitus (finding)	Dry coitus
4854004	1	Acquired hemolytic anemia (disorder)	Acquired hemolytic anemia
4855003	1	Retinopathy due to diabetes mellitus (disorder)	Retinopathy due to diabetes mellitus
4886009	1	Premature birth of newborn male (finding)	Premature birth of newborn male
4927003	1	Acute anterior uveitis (disorder)	Acute anterior uveitis
4932002	1	Panic disorder with agoraphobia, moderate agoraphobic avoidance AND mild panic attacks (disorder)	Panic disorder with agoraphobia, moderate agoraphobic avoidance AND mild panic attacks
4942000	1	Lower limb lymph node structure (body structure)	Lower limb lymph node structure
4958002	1	Amygdaloid structure (body structure)	Amygdaloid structure
4960000	1	Peruvian Paso horse (organism)	Peruvian Paso horse
4969004	1	Sinus headache (finding)	Sinus headache
4970003	1	Venography (procedure)	Venography
4996001	1	Hypophosphatemia (disorder)	Hypophosphatemia
4997005	1	Thyrotoxicosis factitia (disorder)	Thyrotoxicosis factitia
5043000	1	Erythrosin Y stain (substance)	Erythrosin Y stain
5048009	1	External cephalic version with tocolysis (procedure)	External cephalic version with tocolysis
5049001	1	Abnormal angle of erection (finding)	Abnormal angle of erection
5050001	1	Senile angioma (disorder)	Senile angioma
5056007	1	Mycoplasma genitalium (organism)	Mycoplasma genitalium
5076001	1	Structure of infrasternal angle (body structure)	Structure of infrasternal angle
5084002	1	Primary female infertility (disorder)	Primary female infertility
5085001	1	Gonococcemia (disorder)	Gonococcemia
5132005	1	Keratosis pilaris (disorder)	Keratosis pilaris
5140004	1	Structure of maxillary right first molar tooth (body structure)	Structure of maxillary right first molar tooth
5148006	1	Hypertensive heart disease with congestive heart failure (disorder)	Hypertensive heart disease with congestive heart failure
5158005	1	Gilles de la Tourette's syndrome (disorder)	Gilles de la Tourette's syndrome
5164003	1	Montdale sheep (organism)	Montdale sheep
5187006	1	Prune belly syndrome (disorder)	Prune belly syndrome
5210005	1	Rubella virus (organism)	Rubella virus
5217008	1	Stiff-man syndrome (disorder)	Stiff-man syndrome
5227002	1	Oxford sandy block pig (organism)	Oxford sandy block pig
5244003	1	Intraductal papilloma (morphologic abnormality)	Intraductal papilloma
5247005	1	Bordetella pertussis (organism)	Bordetella pertussis
5272005	1	Skin structure of lateral portion of neck (body structure)	Skin structure of lateral portion of neck
5291005	1	Hypocalcemia (disorder)	Hypocalcemia
5294002	1	Developmental disorder (disorder)	Developmental disorder
5296000	1	Structure of anterior mediastinal lymph node (body structure)	Structure of anterior mediastinal lymph node
5306005	1	Manchester terrier superbreed (organism)	Manchester terrier superbreed
5313005	1	Derangement of posterior horn of medial meniscus (disorder)	Derangement of posterior horn of medial meniscus
5318001	1	Posterior subcapsular polar senile cataract (disorder)	Posterior subcapsular polar senile cataract
5366008	1	Hippocampal structure (body structure)	Hippocampal structure
5368009	1	Drug-induced diabetes mellitus (disorder)	Drug-induced diabetes mellitus
5370000	1	Atrial flutter (disorder)	Atrial flutter
5394000	1	Structure of uterine paracervical lymph node (body structure)	Structure of uterine paracervical lymph node
5405008	1	Cobalt-60 (substance)	Cobalt-60
5413009	1	Abnormal male sexual function (finding)	Abnormal male sexual function
5438004	1	French alpine goat (organism)	French alpine goat
5441008	1	Tinea capitis (disorder)	Tinea capitis
5442001	1	Page blue 83 stain (substance)	Page blue 83 stain
5447007	1	Transfusion (procedure)	Transfusion
5467003	1	Normal respiratory rhythm (finding)	Normal respiratory rhythm
5505005	1	Acute bronchiolitis (disorder)	Acute bronchiolitis
5509004	1	Panic disorder with agoraphobia AND severe panic attacks (disorder)	Panic disorder with agoraphobia AND severe panic attacks
