nct_id,overall_status,plan_to_share_ipd,plan_to_share_ipd_description,study_type,phase,study_first_submitted_date,official_title,enrollment,enrollment_type,primary_completion_month_year,primary_completion_date_type
NCT03465852,Not yet recruiting,Yes,"A plan agreed to by the Principal Investigator and the Centers for Disease Control and Prevention (CDC) will make, after approval by the CDC, the following study data available to applicants who provide detailed information on their reasons for requesting the data and plans analysis and use of the data:
Quantitative data from structured surveys for baseline and 6-month follow-up assessments;
Qualitative data from in-depth interviews with selected study participants to elucidate factors that contribute to or impede participant reports of engaging in the expected intervention outcomes following completion of the intervention (consistent condom use and use of PrEP and medically-supervised hormone therapy):
medical record abstractions, and data from biological markers including PrEP and HIV test results. None of the data described here will contain personal identifying information from study participants.",Interventional,N/A,2018-03-08,HIV Prevention Among Latina Transgender Women Who Have Sex With Men: Evaluation of a Locally Developed Intervention,140,Anticipated,"July 15, 2020",Anticipated
NCT03435146,Recruiting,Yes,"To be shared amongst the collaborators on shared database when study starts and is complete.
Results will be disseminated via conferences and publication by scientific peer reviewed journal(s)",Interventional,Phase 1/Phase 2,2017-08-21,"Safety, Tolerability and Drug-drug Interactions of Short Course Treatment of Latent Tuberculosis Infection With High-dose Rifapentine and Isoniazid Among HIV-infected Patients Taking Dolutegravir-based Antiretroviral Treatment",60,Anticipated,"October 31, 2018",Anticipated
NCT03422172,Recruiting,Yes,IPD for this study will be made available via the Clinical Study Data Request site.,Interventional,Phase 1,2018-01-30,"An Open Label, Phase 1 Study to Evaluate the PK, Safety, Tolerability and Acceptability of Long Acting Injections of the HIV Integrase Inhibitor, Cabotegravir (CAB; GSK1265744) in HIV Uninfected Chinese Men",48,Anticipated,"March 7, 2020",Anticipated
NCT03404531,Recruiting,Yes,"Research data will be shared openly, proactively, and timely in accordance with the most recent NIH guidelines (http://grants.nih.gov/grants/policy/data_sharing/) while being mindful that the confidentiality and privacy of participants in research must be protected at all times. Specific plans to share data, including an overview of what will be shared, when it will be shared, how it will be shared, and who will have access to the data will be proposed in a data sharing agreement that all investigators and prospective users of the data will complete when requesting access to the data.",Interventional,N/A,2018-01-12,Reaching Black/African American and Hispanic/Latino MSM Through Social Media About Treatment as Prevention and Pre-Exposure Prophylaxis,164,Anticipated,"April 30, 2019",Anticipated
NCT03397420,Recruiting,Yes,All collected IPDs,Interventional,N/A,2018-01-02,Effect of Family-centered Model of HIV Care (FAM-CARE) on Viral Suppression and Retention in Care of HIV-positive Children in Swaziland,660,Anticipated,"June 30, 2018",Anticipated
NCT03394196,Not yet recruiting,Yes,IPD shared on request with ORB approval on final cleaned dataset,Interventional,N/A,2017-12-14,Implementation and Evaluation of an HIV-2 Viral Load and ARV Resistance Informed Algorithm for 2nd-line ART in HIV-2 Infected Patients in the Initiative SÃ©nÃ©galaise d'AccÃ¨s Aux AntirÃ©troviraux (ISAARV) Program,150,Anticipated,January 2021,Anticipated
NCT03384784,Recruiting,Yes,"The final dataset will include demographic and behavioral assessments and laboratory data bio-specimens. Because the dataset will contain personal health information, identifying information will be collected. Even though the final dataset will be stripped of identifiers prior to release for sharing, investigators will do the following to reduce the possibility confidentiality loss. We will make the data and associated documentation available to users only under a data-sharing agreement that provides for: (1) a commitment to using data only for research purposes and not to identify any individual participant; (2) a commitment to securing the data using appropriate computer technology; and (3) a commitment to destroying or returning the data after analyses are completed.
Transcriptomic data will be deposited with a public access database such as NCBI's Gene Expression Omnibus (GEO) database (http://www.ncbi.nlm.nih.gov/geo/)",Interventional,Phase 2,2017-12-08,Targeting the Cholinergic Pathway in HIV-associated Inflammation and Cognitive Dysfunction,150,Anticipated,January 2022,Anticipated
NCT03383211,Recruiting,Yes,Genomic data will be submitted to the NCBI SRA archive,Observational,NA,2017-12-19,Transcriptomic Profile of the Immune Response to BCG Vaccination in Neonates Born to HIV and LTBI Infected and Non-infected Mothers,150,Anticipated,"September 1, 2018",Anticipated
NCT03368053,Completed,Yes,Patient-level data for this study will be made available through www.clinicalstudydatarequest.com following the timelines and process described on this site.,Interventional,Phase 1,2017-12-05,Long-term Immunogenicity of the HIV gp120-NefTat/AS01B Vaccine (GSK SB732461),36,Actual,"January 30, 2018",Actual
NCT03353701,Recruiting,Yes,Limited and de-identified datasets will be available to researchers after signing a data-use agreement with the University of Florida.,Interventional,N/A,2017-11-03,"Effects of Experimentally-induced Reductions in Alcohol Consumption on Brain Cognitive and Clinical Outcomes, and Motivation for Changing Drinking in Older Persons With HIV Infection",180,Anticipated,October 2019,Anticipated
NCT03312244,"Active, not recruiting",Yes,All data will be freely available to all research parties involved,Interventional,Phase 2,2017-04-01,Study of the Role of Peripheral Acetylcholinesterase Inhibitor Pyridostigmine as Immunomodulators in a Population of Patients Living With Human Immunodeficiency Virus Infection.,60,Anticipated,"June 30, 2019",Anticipated
NCT03278886,Not yet recruiting,Yes,All data from the study will be placed into the URBAN ARCH repository.,Interventional,Phase 1/Phase 2,2017-09-05,Pilot Study of Opioid-receptor Antagonists to Reduce Pain and Inflammation Among HIV-Infected Persons With Alcohol Problems,16,Anticipated,February 2019,Anticipated
NCT03275701,Recruiting,Yes,NA,Interventional,N/A,2016-07-22,"Phase IV, Single-Arm, Open-Label Study Evaluating Bone Mineral Density in HIV-1-Infected Adults â‰¥50 Years Old Switching From EVG/COBI/FTC/TAF (Genvoya) or EVG/COBI/FTC/TDF (Stribild) to ABC/DTG/3TC (Triumeq)",50,Anticipated,October 2019,Anticipated
NCT03215901,Completed,Yes,De-identified data will be archived on the Africa Health Research Institute repository and will be available via a data request.,Interventional,N/A,2017-07-06,Life Plans of Young Adults in Rural KwaZulu-Natal: an Intervention Study,430,Actual,"December 14, 2017",Actual
NCT03198325,Recruiting,Yes,Congress and scientific pubblications,Interventional,N/A,2017-06-21,Monitored Antiretroviral Pause in Chronic HIV-Infected Subjects With Long-Lasting Suppressed Viremia (APACHE Study),30,Anticipated,December 2017,Anticipated
NCT03149757,Recruiting,Yes,"The investigators will assure the timely release and sharing of data two years after the publication of the main trial findings from the final dataset. Study variables will be available; however, the investigators will protect the rights and privacy of human subjects by redacting all identifiers from the data set. The de-identified data from this project will be available through individual requests directed to the Principal Investigator.",Interventional,Phase 2,2017-05-09,Connecting Youth and Young Adults to Optimize ART Adherence: Testing the Efficacy of the Youth Thrive Intervention,300,Anticipated,April 2020,Anticipated
NCT03147859,Recruiting,Yes,"Study dataset, after study closure and publication, by request.",Interventional,Phase 2,2017-04-03,Vedolizumab Treatment in Antiretroviral Drug Treated Chronic HIV Infection,12,Anticipated,"December 31, 2018",Anticipated
NCT03134924,Completed,Yes,Available from the PI upon request.,Interventional,N/A,2017-04-21,"Vaginal Practices in Human Immunodeficiency Virus (HIV) Positive Women in Zambia, a Bio-Behavioral Intervention ""WASH-2""",128,Actual,"February 5, 2014",Actual
NCT03132415,Recruiting,Yes,"The investigators will assure the timely release and sharing of data two years after the publication of the main trial findings from the final dataset. Study variables will be available; however, the investigators will protect the rights and privacy of human subjects by redacting all identifiers from the dataset. The de-identified data from this project will be available through individual requests directed to the Principal Investigator.",Interventional,N/A,2017-04-24,"Get Connected: Linking YMSM to Adequate Care Through a Multilevel, Tailored WebApp Intervention",480,Anticipated,April 2020,Anticipated
NCT03100331,"Active, not recruiting",Yes,We may share the data with future co-investigators at the NIH Peds HIV observational cohort study,Interventional,N/A,2017-03-20,Neuropsychological Outcomes of Internationally-Adopted Children Who Are Perinatally-Infected With Human Immunodeficiency Virus,17,Actual,"January 13, 2020",Anticipated
NCT03090802,Recruiting,Yes,"Persons requesting permission to access non-biological data (behavioral assessments) will communicate with the project PI, Dr. Ali Groves, who will provide/decline permission. Persons requesting permission to access biological data (biological assessments and specimens) will communicate with the site PI, Dr. Daya Moodley, who will provide/decline permission. If permission is granted, the relevant research staff will be alerted to the release of samples/data as requested. A list of the participant samples/data being released will be provided to the PI, and the person requesting the data. Both will acknowledge release and receipt of samples/data. Data that will be provided with the samples will be limited to demographic data, no personal participant information will be provided; only participant identifiers will be used to identify the specific sample/data requested.",Interventional,N/A,2017-03-16,Re-enrolling Young South African Mothers in School as a Social Vaccine Against HIV Transmission,480,Anticipated,"September 30, 2018",Anticipated
NCT03066128,"Active, not recruiting",Yes,De-identified individual participant data for all outcome measures will be made available after study completion,Interventional,N/A,2017-02-22,Point-of-care Viral Load Testing to Enable Streamlined Care and Task Shifting for Chronic HIV Care,390,Actual,"September 27, 2018",Anticipated
NCT03051789,Recruiting,Yes,"A link will be provided from LSTM and study-specific website to study resources including the protocol, participant information sheets, SOPs, publications and the database. A data repository is being established at LSTM and will be entrusted with storing data when ready. The investigators policy to data sharing will be published on the study website. A final database containing all research data will be made fully publicly available in an unrestricted format once the findings have been published. The only limits to data sharing will be to safeguard participants' confidentiality. The proposed procedures for data sharing will be set out and explained to the research participants as part of the informed consent process. External users will be bound by data sharing agreements in line with The MRC Data Sharing Policy. External users will be required to accept terms and conditions of use using a declaration tick box.",Interventional,N/A,2017-02-09,Menstrual Cups and Cash Transfer to Reduce Sexual and Reproductive Harm and School Dropout in Adolescent Schoolgirls in Western Kenya: a Cluster Randomised Controlled Trial,3864,Anticipated,March 2020,Anticipated
NCT03049176,Recruiting,Yes,De-identified data will be made available at the end of the study on an online repository.,Observational,NA,2017-02-07,The Impact and Cost-effectiveness of Safer Conception Strategies for HIV-discordant Couples,160,Anticipated,April 2018,Anticipated
NCT03037372,Not yet recruiting,Yes,"Data will be shared with the Infectious Diseases Institute, according to the IDI data sharing policy",Interventional,Phase 3,2017-01-10,Statin Adjunct Therapy Among HAART-treated Adults in Sub-Saharan Africa: Equivalence of Atorvastatin and Rosuvastatin,320,Anticipated,"June 30, 2022",Anticipated
NCT03033836,Recruiting,Yes,to publish study results,Interventional,Phase 4,2016-08-18,Pilot Study of Dolutegravir Plus Tenofovir/Lamivudine or Emtricitabine in HIV-1 Infected Transgender Women,60,Anticipated,October 2017,Anticipated
NCT03030768,"Active, not recruiting",Yes,De-identified individual participant data for all outcome measures will be made available after study completion,Observational,NA,2017-01-12,"Pilot of an mHealth-enhanced, Safer Conception Intervention to Reduce HIV-1 Risk Among Kenyan HIV-1 Serodiscordant Couples",74,Actual,June 2018,Anticipated
NCT03024762,"Active, not recruiting",Yes,Data can be made available to other researchers through an application addressed to the sponsor (Research for Development International) and this via the Principal Investigator (Dr Yumo Habakkuk).,Interventional,N/A,2016-12-06,Active Search for Pediatric HIV/AIDS (ASPA),870,Anticipated,December 2016,Actual
NCT03004170,Recruiting,Yes,Raw de-identified data will be made publicly available to the scientific community upon request after the trial is complete and data have been published. Data requests should be directed to the study principal investigator.,Interventional,N/A,2016-12-20,NA,336,Anticipated,February 2020,Anticipated
NCT03002012,Terminated,Yes,A formal written data sharing plan exists. No data will be shared until after trial completion.,Interventional,Phase 3,2016-12-14,Cryptococcal Antigen Screening Plus Sertraline,21,Actual,"March 13, 2018",Actual
NCT02994329,Completed,Yes,the de-identified data will be made available via International Initiative for Evaluation's (3ie) public access data repository.,Interventional,N/A,2016-11-30,Community-based Distribution of Oral HIV Self-testing Kits-A Pilot Intervention and Rapid Impact Evaluation,8080,Actual,"September 30, 2017",Actual
NCT02969915,Recruiting,Yes,"The investigators will require prospective collaborators to submit concept sheets to the study PIs that include a brief summary of the proposed hypothesis, summary of research methods, specific data or specimens that are being requested, and plans for analysis. Reasonable requests that address relevant scientific questions will be welcomed and supported to the extent possible.",Interventional,N/A,2016-11-18,Strategies to Improve the HIV Care Continuum Among Key Populations in India,18400,Anticipated,January 2021,Anticipated
NCT02965014,Recruiting,Yes,"Analytic data sets will be prepared in accordance with the ""Privacy Rule"" of the Health Insurance Portability and Accountability Act (HIPAA; http://www.hhs.gov/ocr/) as ""limited data sets"" in which names and other personal health identifiers are removed, birthdays have been converted to age at intake, and other dates have been changed to be days before or after the date of intake. Because there are fewer than 20,000 people in the data set, HIPAA says we cannot ensure that it is completely ""de-identified""; consequently, HIPAA requires that we treat it as a ""limited data set"" and that we have a data sharing agreement (DSA) in place before giving anyone access to the client-level data. After the main findings are published, we will welcome other researchers who want to analyze the data in other ways. Requesting access to data will involve drafting an abstract, checking the feasibility relative to the available data, and seeking the permission of the PI and her team.",Interventional,N/A,2016-11-14,Young Women-Focused HIV Prevention: Seek & Test in North Carolina (NC) Clinics,700,Anticipated,July 2020,Anticipated
NCT02949713,Not yet recruiting,Yes,The IPD will be available from the corresponding author on reasonable request,Interventional,N/A,2016-10-26,"Feasibility and Effects of Mobile Phone Text Messaging Plus Motivational Interviewing Versus Usual Care in Promotion of Breastfeeding Among HIV-infected Women in South Africa: A Randomized, Parallel Group, Controlled Pilot Trial",84,Anticipated,February 2018,Anticipated
NCT02891720,Not yet recruiting,Yes,"Findings from this study will provide pharmacokinetic data along with evidence of the feasibility and acceptability of the novel Proteus adherence monitoring system for use among young MSM who are highly vulnerable to HIV infection. Audiences for dissemination are: 1) scientists; 2) primary and secondary prevention practitioners; and 3) YMSM, their partners, and their friends/families. Traditional dissemination vehicles will be used including manuscripts and presentations at international and national meetings. To facilitate integration of the findings into the public health arena, the protocol team will work closely with their YAB and present findings in forums attended by community-based organizations, such as local PrEP trainings and workshops.",Interventional,N/A,2016-08-29,Feasibility of an Ingestible Sensor System to Measure PrEP Adherence in YMSM,100,Anticipated,November 2018,Anticipated
NCT02886416,Not yet recruiting,Yes,Scientific publication,Observational,NA,2016-08-29,"Study of Co-adaptation Between Human Immunodeficiency Virus (HIV) and Cluster of Differentiation 8 (CD8) Cellular Immunity, for 27 Years of Natural Evolution and on Treatment",28,Anticipated,September 2017,Anticipated
NCT02850276,Recruiting,Yes,Data will be shared with participants in real time if the tests have any clinical significance.,Interventional,Early Phase 1,2016-07-27,"Autonomic Neuropathy, Gastrointestinal Motility, and Inflammation in HIV",45,Anticipated,March 2018,Anticipated
NCT02842060,Completed,Yes,"The investigators will assure the timely release and sharing of data two years after the publication of the main trial findings from the final dataset. Study variables will be available; however, the investigators will protect the rights and privacy of human subjects by redacting all identifiers from the dataset. The de-identified data from this project will be available through individual requests directed to the Principal Investigator.",Interventional,N/A,2016-07-16,Development of a Tailored HIV Prevention Intervention for Young Men,180,Actual,May 2017,Actual
NCT02827240,Completed,Yes,De-identified data will be made available via International Initiative for Impact Evaluation's public access data repository.,Interventional,N/A,2016-06-30,A Peer Educator-delivered HIV Self-testing Intervention for Female Sex Workers in Zambian Border Towns,965,Actual,March 2017,Actual
NCT02817451,"Active, not recruiting",Yes,"Individual participant data (IPD) and supporting clinical documents are available for request at www.clinicalstudydatarequest.com. While making information available we continue to protect the privacy of the participants in our clinical trials and to remove commercially confidential information (CCI). Details on Data Sharing criteria and process for requesting access can be found at this web address: Clinicalstudydatarequest.com/Sanofi"".",Interventional,Phase 3,2016-06-27,Immunogenicity and Safety of Sanofi Pasteur's DTaP-IPV-HB-PRP-T Combined Vaccine Given as a Primary Series and a Second Year of Life Booster in HIV-Exposed Infected and in HIV-Exposed Uninfected Infants in Republic of South Africa,100,Actual,"September 11, 2018",Anticipated
NCT02797587,Recruiting,Yes,All data from the study will be placed into the URBAN ARCH repository.,Interventional,Phase 2/Phase 3,2016-06-08,URBAN ARCH 4/5 Russia Cohort-Targeting HIV-comorbidities With Pharmacotherapy to Reduce Alcohol and Tobacco Use in HIV-infected Russians,400,Anticipated,April 2020,Anticipated
NCT02775929,Completed,Yes,Data from the Partners Demonstration Project are available by contacting the International Clinical Research Center at the University of Washington (icrc@uw.edu).,Interventional,Phase 4,2016-05-10,"An Open Label, Pilot Demonstration and Evaluation Project of Antiretroviral-based HIV-1 Prevention Among High-risk Serodiscordant African Couples",1013,Actual,June 2016,Actual
NCT02756208,"Active, not recruiting",Yes,NA,Interventional,Phase 1,2016-04-17,A Phase I Safety and Immunogenicity Trial of IHV01 in HIV-1 Uninfected Volunteers,60,Anticipated,July 2018,Anticipated
NCT02741128,Not yet recruiting,Yes,Individual participant data (IPD) and supporting clinical documents are available for request at clinicalstudydatarequest.com. While making information available Sanofi continues to protect the privacy of the participants in clinical trials and to remove commercially confidential information (CCI). Details on Data Sharing criteria and process for requesting access can be found at this web address: clinicalstudydatarequest.com,Interventional,Phase 2,2016-04-08,Safety and Immunogenicity of a Tetravalent Dengue Vaccine in HIV-Positive Adults Aged 18 to 50 Years in Brazil,150,Anticipated,"March 18, 2021",Anticipated
NCT02707926,Not yet recruiting,Yes,"The results of this trial will be of interest to the HIV research and medical communities. We expect to submit the data from the main analysis within 6 months of completing the work. We will publish the results in a major scientific journal and present the results at a major scientific meeting (e.g., CROI). Subsequent analyses will be presented at national and international HIV meetings. Data generated under this project, and any intellectual property, will be administered in accordance with NIH policies, including the NIH Data Sharing Policy the NIH Public Access Policy.",Observational,NA,2016-03-03,The Lymphoid Tissue Pharmacology of Antiretroviral Drugs,18,Anticipated,June 2020,Anticipated
NCT02696824,Recruiting,Yes,"After all primary analyses are complete, de-identified data will be available per request of outside individual.",Interventional,N/A,2016-02-18,Effectiveness of Nurse-delivered Care for Adherence/Mood in HIV in South Africa,160,Anticipated,January 2021,Anticipated
NCT02571595,Enrolling by invitation,Yes,Fully anonymized individual data may be requested from the investigators.,Interventional,N/A,2015-08-25,Efficacy Potential of an Internet-based Sleep Program to Improve Sleep Quality in People With HIV,60,Anticipated,May 2018,Anticipated
NCT02571504,Completed,Yes,Fully anonymized individual data may be requested from the investigators.,Interventional,N/A,2015-08-25,Brain Imaging to Understand HIV-associated Neurocognitive Disorder and Predict Response to Cognitive Training,81,Actual,May 2017,Actual
NCT02484183,Terminated,Yes,Will be available upon request to principle investigator.,Interventional,N/A,2015-06-23,Effectiveness of Bubble Continuous Positive Airway Pressure (CPAP) in Reducing Childhood Pneumonia Mortality in Malawi,646,Actual,"April 28, 2018",Actual
NCT02473367,Completed,Yes,"http://www.merck.com/clinical-trials/pdf/Merck%20Procedure%20on%20Clinical%20Trial%20Data%20Access%20Final_Updated%20July_9_2014.pdf
http://engagezone.msd.com/ds_documentation.php",Interventional,Phase 1,2015-06-12,A Study to Evaluate the Influence of Metal Cation-Containing Antacids on MK-0518 Pharmacokinetics in HIV-Infected Subjects on a Stable Raltegravir-Containing Regimen,20,Actual,August 2015,Actual
NCT02471326,Completed,Yes,NIH Biomedical Translational Research Information System,Interventional,Phase 1,2015-06-12,"An Exploratory, Open-Label Study of VRC-HIVMAB060-00-AB (VRC01) in Subjects With Chronic HIV Infection Undergoing Analytical Treatment Interruption",10,Actual,"April 7, 2017",Actual
NCT02348775,"Active, not recruiting",Yes,Data from the study will be submitted for publication once analyses are completed,Interventional,Phase 1,2015-01-15,Glutathione and Function in HIV Patients,16,Actual,December 2018,Anticipated
NCT02131233,Completed,Yes,"http://www.merck.com/clinical-trials/pdf/Merck%20Procedure%20on%20Clinical%20Trial%20Data%20Access%20Final_Updated%20July_9_2014.pdf
http://engagezone.msd.com/ds_documentation.php",Interventional,Phase 3,2014-05-02,"A Phase III Multicenter, Double-Blind, Randomized, Active Comparator-Controlled Clinical Trial to Evaluate the Safety and Efficacy of Reformulated Raltegravir 1200 mg Once Daily Versus Raltegravir 400 mg Twice Daily, Each in Combination With TRUVADAâ„¢, in Treatment-NaÃ¯ve HIV-1 Infected Subjects",802,Actual,"December 21, 2015",Actual
NCT02063880,Completed,Yes,after primary and secondary outcomes are published,Interventional,N/A,2012-08-21,Urgent Versus Post-Stabilization ART in HIV-1 Infected Children With Severe Co-Infections,183,Actual,November 2015,Actual
NCT01930045,Completed,Yes,"http://www.merck.com/clinical-trials/pdf/Merck%20Procedure%20on%20Clinical%20Trial%20Data%20Access%20Final_Updated%20July_9_2014.pdf
http://engagezone.msd.com/ds_documentation.php",Interventional,Phase 1,2013-08-23,A Study to Evaluate the Effect of Staggered Dosing of a Magnesium/Aluminum Antacid on Raltegravir Pharmacokinetics in HIV-Infected Subjects on a Raltegravir-Containing Regimen,18,Actual,December 2013,Actual
NCT01792570,Unknown status,Yes,NA,Interventional,Phase 3,2013-02-07,Strategic Study of Dual-therapy With Darunavir/Ritonavir and Rilpivirine QD Versus Triple-therapy in Patients With Suppressed Viral Load: Virological Efficacy and Evaluation of Non-HIV Related Morbidity.,132,Anticipated,September 2017,Anticipated
NCT01717287,Completed,Yes,"http://www.merck.com/clinical-trials/pdf/Merck%20Procedure%20on%20Clinical%20Trial%20Data%20Access%20Final_Updated%20July_9_2014.pdf
http://engagezone.msd.com/ds_documentation.php",Interventional,Phase 2,2012-10-26,"A Phase II, Multicenter, Open-Label, Noncomparative Study of Raltegravir (MK-0518) in Two Oral Formulations in Combination With Other Antiretroviral Agents to Evaluate the Safety, Tolerability, and Antiretroviral Activity in HIV-1 Infected Russian Children and Adolescents",32,Actual,December 2013,Actual
NCT01622673,Completed,Yes,"http://www.merck.com/clinical-trials/pdf/Merck%20Procedure%20on%20Clinical%20Trial%20Data%20Access%20Final_Updated%20July_9_2014.pdf
http://engagezone.msd.com/ds_documentation.php",Interventional,Phase 1,2012-06-15,A Study to Evaluate the Effect of Metal Cation-Containing Antacids on Raltegravir Pharmacokinetics in HIV-Infected Subjects on a Stable Raltegravir-Containing Regimen,27,Actual,October 2012,Actual
NCT01340950,Completed,Yes,Data will be shared in conference presentations and peer-reviewed publications. Data will also be made available on approval of requests for appropriate use.,Interventional,Phase 4,2011-04-21,Clinical Trial of CNS Penetrating ART to Prevent NeuroAIDS in China,250,Actual,July 2014,Actual
NCT01246401,Completed,Yes,"Data has been shared with the National Institute on Drug Abuse as a site in the data harmonization project associated with Seek, Test, Treat and Retain for Criminal Justice Populations.",Interventional,Phase 1/Phase 2,2010-11-22,Naltrexone for Opioid Dependent Released Human Immunodeficiency Virus Positive (HIV+) Criminal Justice Populations,151,Actual,March 2016,Actual
NCT01165203,Completed,Yes,Patient-level data for this study will be made available through www.clinicalstudydatarequest.com following the timelines and process described on this site.,Interventional,Phase 2,2010-07-15,Safety and Immunogenicity of GlaxoSmithKline Biologicals' Herpes Zoster Vaccine 1437173A in Adult HIV-infected Subjects,123,Actual,"July 6, 2012",Actual
NCT01159223,Completed,Yes,study protocol available at www.hivnat.org,Interventional,Phase 4,2010-06-04,A Multicenter Randomized Study to Compare the Efficacy and Safety of Lower Dose Atazanavir /Ritonavir (ATV/r 200/100 OD) Versus Standard Dose (ATV/r 300/100 mg OD) in Combination With 2NRTIs in Well Virology Suppressed HIV-infected Adults,559,Actual,December 2014,Actual
NCT01147107,"Active, not recruiting",Yes,IPD will be shared with other researchers upon request following the publication of the data. Researchers will contact the PI.,Interventional,Phase 4,2010-06-16,Hepatic Safety of Raltegravir-based and Efavirenz-based Antiretroviral Regimens in Antiretroviral-NaÃ¯ve HIV-infected Subjects Co-Infected With Hepatitis C,80,Anticipated,December 2016,Actual
