link_to_code,created_on,shortname,long_common_name,component,prop,time,system,scale,method,loinc
https://loinc.org/94645-9,2020-04-02,SARS-CoV-2 RdRp gene Ct XXX Qn NAA+probe,SARS coronavirus 2 RdRp gene [Cycle Threshold #] in Unspecified specimen by NAA with probe detection,SARS coronavirus 2 RdRp gene,ThreshNum,Pt,XXX,Qn,Probe.amp.tar,94645-9
https://loinc.org/94646-7,2020-04-02,SARS-CoV-2 RdRp gene Ct Resp Qn NAA+prob,SARS coronavirus 2 RdRp gene [Cycle Threshold #] in Respiratory specimen by NAA with probe detection,SARS coronavirus 2 RdRp gene,ThreshNum,Pt,Respiratory,Qn,Probe.amp.tar,94646-7
https://loinc.org/94643-4,2020-04-02,SARS-CoV-2 S gene Ct XXX Qn NAA+probe,SARS coronavirus 2 S gene [Cycle Threshold #] in Unspecified specimen by NAA with probe detection,SARS coronavirus 2 S gene,ThreshNum,Pt,XXX,Qn,Probe.amp.tar,94643-4
https://loinc.org/94642-6,2020-04-02,SARS-CoV-2 S gene Ct Resp Qn NAA+probe,SARS coronavirus 2 S gene [Cycle Threshold #] in Respiratory specimen by NAA with probe detection,SARS coronavirus 2 S gene,ThreshNum,Pt,Respiratory,Qn,Probe.amp.tar,94642-6
https://loinc.org/94641-8,2020-04-02,SARS-CoV-2 S gene XXX Ql NAA+probe,SARS coronavirus 2 S gene [Presence] in Unspecified specimen by NAA with probe detection,SARS coronavirus 2 S gene,PrThr,Pt,XXX,Ord,Probe.amp.tar,94641-8
https://loinc.org/94640-0,2020-04-02,SARS-CoV-2 S gene Resp Ql NAA+probe,SARS coronavirus 2 S gene [Presence] in Respiratory specimen by NAA with probe detection,SARS coronavirus 2 S gene,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,94640-0
https://loinc.org/94647-5,2020-04-02,SARSr-CoV RNA XXX Ql NAA+probe,SARS-related coronavirus RNA [Presence] in Unspecified specimen by NAA with probe detection,SARS-related coronavirus RNA,PrThr,Pt,XXX,Ord,Probe.amp.tar,94647-5
https://loinc.org/94562-6,2020-03-27,SARS-CoV-2 IgA SerPl Ql IA,SARS coronavirus 2 IgA Ab [Presence] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgA,PrThr,Pt,Ser/Plas,Ord,IA,94562-6
https://loinc.org/94563-4,2020-03-27,SARS-CoV-2 IgG SerPl Ql IA,SARS coronavirus 2 IgG Ab [Presence] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgG,PrThr,Pt,Ser/Plas,Ord,IA,94563-4
https://loinc.org/94564-2,2020-03-27,SARS-CoV-2 IgM SerPl Ql IA,SARS coronavirus 2 IgM Ab [Presence] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgM,PrThr,Pt,Ser/Plas,Ord,IA,94564-2
https://loinc.org/94565-9,2020-03-27,SARS-CoV-2 RNA Nph Ql NAA+non-probe,SARS coronavirus 2 RNA [Presence] in Nasopharynx by NAA with non-probe detection,SARS coronavirus 2 RNA,PrThr,Pt,Nph,Ord,Non-probe.amp.tar,94565-9
https://loinc.org/94558-4,2020-03-24,SARS-CoV-2 Ag Resp Ql IA.rapid,SARS coronavirus 2 Ag [Presence] in Respiratory specimen by Rapid immunoassay,SARS coronavirus 2 Ag,PrThr,Pt,Respiratory,Ord,IA.rapid,94558-4
https://loinc.org/94559-2,2020-03-24,SARS-CoV-2 ORF1ab Resp Ql NAA+probe,SARS coronavirus 2 ORF1ab region [Presence] in Respiratory specimen by NAA with probe detection,SARS coronavirus 2 ORF1ab region,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,94559-2
https://loinc.org/94547-7,2020-03-12,SARS-CoV-2 IgG+IgM SerPl Ql IA,SARS coronavirus 2 IgG+IgM Ab [Presence] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgG+IgM,PrThr,Pt,Ser/Plas,Ord,IA,94547-7
https://loinc.org/94533-7,2020-03-10,SARS-CoV-2 N gene Resp Ql NAA+probe,SARS coronavirus 2 N gene [Presence] in Respiratory specimen by NAA with probe detection,SARS coronavirus 2 N gene,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,94533-7
https://loinc.org/94534-5,2020-03-10,SARS-CoV-2 RdRp gene Resp Ql NAA+probe,SARS coronavirus 2 RdRp gene [Presence] in Respiratory specimen by NAA with probe detection,SARS coronavirus 2 RdRp gene,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,94534-5
https://loinc.org/94531-1,2020-03-10,SARS-CoV-2 RNA Pnl Resp NAA+probe,SARS coronavirus 2 RNA panel - Respiratory specimen by NAA with probe detection,SARS coronavirus 2 RNA panel,-,Pt,Respiratory,-,Probe.amp.tar,94531-1
https://loinc.org/94532-9,2020-03-10,SARS-rel CoV+MERS RNA Resp Ql NAA+probe,SARS-related coronavirus+MERS coronavirus RNA [Presence] in Respiratory specimen by NAA with probe detection,SARS-related coronavirus+MERS coronavirus RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,94532-9
https://loinc.org/94501-4,2020-03-09,MERS-CoV RNA Resp Ql NAA+probe,Middle East respiratory syndrome coronavirus (MERS-CoV) RNA [Presence] in Respiratory specimen by NAA with probe detection,Middle east respiratory syndrome coronavirus RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,94501-4
https://loinc.org/94499-1,2020-03-09,Resp viral path DNA+RNA Pnl Resp NAA+prb,Respiratory viral pathogens DNA and RNA panel - Respiratory specimen Qualitative by NAA with probe detection,Respiratory viral pathogens DNA & RNA panel,-,Pt,Respiratory,Ord,Probe.amp.tar,94499-1
https://loinc.org/94504-8,2020-03-09,SerPl IA,- Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab panel,-,Pt,Ser/Plas,-,IA,94504-8
https://loinc.org/94507-1,2020-03-09,SARS-CoV-2 IgG SerPl Ql IA.rapid,SARS coronavirus 2 IgG Ab [Presence] in Serum or Plasma by Rapid immunoassay,SARS coronavirus 2 Ab.IgG,PrThr,Pt,Ser/Plas,Ord,IA.rapid,94507-1
https://loinc.org/94505-5,2020-03-09,SARS-CoV-2 IgG SerPl IA-aCnc,SARS coronavirus 2 IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgG,ACnc,Pt,Ser/Plas,Qn,IA,94505-5
https://loinc.org/94503-0,2020-03-09,SARS-CoV-2 IgG+IgM Pnl SerPl IA.rapid,SARS coronavirus 2 IgG and IgM panel - Serum or Plasma by Rapid immunoassay,SARS coronavirus 2 Ab.IgG & IgM panel,-,Pt,Ser/Plas,-,IA.rapid,94503-0
https://loinc.org/94508-9,2020-03-09,SARS-CoV-2 IgM SerPl Ql IA.rapid,SARS coronavirus 2 IgM Ab [Presence] in Serum or Plasma by Rapid immunoassay,SARS coronavirus 2 Ab.IgM,PrThr,Pt,Ser/Plas,Ord,IA.rapid,94508-9
https://loinc.org/94506-3,2020-03-09,SARS-CoV-2 IgM SerPl IA-aCnc,SARS coronavirus 2 IgM Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgM,ACnc,Pt,Ser/Plas,Qn,IA,94506-3
https://loinc.org/94509-7,2020-03-09,SARS-CoV-2 E gene Ct XXX Qn NAA+probe,SARS coronavirus 2 E gene [Cycle Threshold #] in Unspecified specimen by NAA with probe detection,SARS coronavirus 2 E gene,ThreshNum,Pt,XXX,Qn,Probe.amp.tar,94509-7
https://loinc.org/94510-5,2020-03-09,SARS-CoV-2 N gene Ct XXX Qn NAA+probe,SARS coronavirus 2 N gene [Cycle Threshold #] in Unspecified specimen by NAA with probe detection,SARS coronavirus 2 N gene,ThreshNum,Pt,XXX,Qn,Probe.amp.tar,94510-5
https://loinc.org/94511-3,2020-03-09,SARS-CoV-2 ORF1ab Ct XXX Qn NAA+probe,SARS coronavirus 2 ORF1ab region [Cycle Threshold #] in Unspecified specimen by NAA with probe detection,SARS coronavirus 2 ORF1ab region,ThreshNum,Pt,XXX,Qn,Probe.amp.tar,94511-3
https://loinc.org/94500-6,2020-03-09,SARS-CoV-2 RNA Resp Ql NAA+probe,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,94500-6
https://loinc.org/94502-2,2020-03-09,SARS-rel CoV RNA Resp Ql NAA+probe,SARS-related coronavirus RNA [Presence] in Respiratory specimen by NAA with probe detection,SARS-related coronavirus RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,94502-2
https://loinc.org/94315-9,2020-01-31,SARS-CoV-2 E gene XXX Ql NAA+probe,SARS coronavirus 2 E gene [Presence] in Unspecified specimen by NAA with probe detection,SARS coronavirus 2 E gene,PrThr,Pt,XXX,Ord,Probe.amp.tar,94315-9
https://loinc.org/94316-7,2020-01-31,SARS-CoV-2 N gene XXX Ql NAA+probe,SARS coronavirus 2 N gene [Presence] in Unspecified specimen by NAA with probe detection,SARS coronavirus 2 N gene,PrThr,Pt,XXX,Ord,Probe.amp.tar,94316-7
https://loinc.org/94312-6,2020-01-31,SARS-CoV-2 N gene Ct XXX Qn NAA N2,SARS coronavirus 2 N gene [Cycle Threshold #] in Unspecified specimen by Nucleic acid amplification using primer-probe set N2,SARS coronavirus 2 N gene,ThreshNum,Pt,XXX,Qn,Probe.amp.tar.primer-probe set N2,94312-6
https://loinc.org/94311-8,2020-01-31,SARS-CoV-2 N gene Ct XXX Qn NAA N1,SARS coronavirus 2 N gene [Cycle Threshold #] in Unspecified specimen by Nucleic acid amplification using primer-probe set N1,SARS coronavirus 2 N gene,ThreshNum,Pt,XXX,Qn,Probe.amp.tar.primer-probe set N1,94311-8
https://loinc.org/94308-4,2020-01-31,SARS-CoV-2 N gene XXX Ql NAA N2,SARS coronavirus 2 N gene [Presence] in Unspecified specimen by Nucleic acid amplification using primer-probe set N2,SARS coronavirus 2 N gene,PrThr,Pt,XXX,Ord,Probe.amp.tar.primer-probe set N2,94308-4
https://loinc.org/94307-6,2020-01-31,SARS-CoV-2 N gene XXX Ql NAA N1,SARS coronavirus 2 N gene [Presence] in Unspecified specimen by Nucleic acid amplification using primer-probe set N1,SARS coronavirus 2 N gene,PrThr,Pt,XXX,Ord,Probe.amp.tar.primer-probe set N1,94307-6
https://loinc.org/94314-2,2020-01-31,SARS-CoV-2 RdRp gene XXX Ql NAA+probe,SARS coronavirus 2 RdRp gene [Presence] in Unspecified specimen by NAA with probe detection,SARS coronavirus 2 RdRp gene,PrThr,Pt,XXX,Ord,Probe.amp.tar,94314-2
https://loinc.org/94309-2,2020-01-31,SARS-CoV-2 RNA XXX Ql NAA+probe,SARS coronavirus 2 RNA [Presence] in Unspecified specimen by NAA with probe detection,SARS coronavirus 2 RNA,PrThr,Pt,XXX,Ord,Probe.amp.tar,94309-2
https://loinc.org/94306-8,2020-01-31,SARS-CoV-2 RNA Pnl XXX NAA+probe,SARS coronavirus 2 RNA panel - Unspecified specimen by NAA with probe detection,SARS coronavirus 2 RNA panel,-,Pt,XXX,-,Probe.amp.tar,94306-8
https://loinc.org/94310-0,2020-01-31,SARS-like CoV N XXX Ql NAA+probe,SARS-like coronavirus N gene [Presence] in Unspecified specimen by NAA with probe detection,SARS-like coronavirus N gene,PrThr,Pt,XXX,Ord,Probe.amp.tar,94310-0
https://loinc.org/94313-4,2020-01-31,SARS-like CoV N Ct XXX Qn NAA+probe,SARS-like coronavirus N gene [Cycle Threshold #] in Unspecified specimen by NAA with probe detection,SARS-like coronavirus N gene,ThreshNum,Pt,XXX,Qn,Probe.amp.tar,94313-4
https://loinc.org/94662-4,2020-04-06,C immitis IgG CSF Ql ID,Coccidioides immitis IgG Ab [Presence] in Cerebral spinal fluid by Immune diffusion (ID),Coccidioides immitis Ab.IgG,PrThr,Pt,CSF,Ord,Immune diffusion,94662-4
https://loinc.org/94663-2,2020-04-06,C immitis IgM CSF Ql ID,Coccidioides immitis IgM Ab [Presence] in Cerebral spinal fluid by Immune diffusion (ID),Coccidioides immitis Ab.IgM,PrThr,Pt,CSF,Ord,Immune diffusion,94663-2
https://loinc.org/94655-8,2020-04-03,ID & Authority panel,Identifier and Assigning authority panel,Identifier & Assigning authority panel,-,Pt,^Patient,-,,94655-8
https://loinc.org/94617-8,2020-04-01,A marginale DNA Ct XXX Qn NAA+probe,Anaplasma marginale DNA [Cycle Threshold #] in Unspecified specimen by NAA with probe detection,Anaplasma marginale DNA,ThreshNum,Pt,XXX,Qn,Probe.amp.tar,94617-8
https://loinc.org/94603-8,2020-04-01,Bact 16S rRNA gene Islt-Seq,Bacterial 16S rRNA gene [Nucleotide sequence] in Isolate by Sequencing,Bacterial 16S rRNA gene,Seq,Pt,Isolate,Nom,Sequencing,94603-8
https://loinc.org/94616-0,2020-04-01,BCV RNA Ct XXX Qn NAA+probe,Bovine coronavirus RNA [Cycle Threshold #] in Unspecified specimen by NAA with probe detection,Bovine coronavirus RNA,ThreshNum,Pt,XXX,Qn,Probe.amp.tar,94616-0
https://loinc.org/94620-2,2020-04-01,BVDV XXX Ql Cult,Bovine diarrhea virus [Presence] in Unspecified specimen by Organism specific culture,Bovine diarrhea virus,PrThr,Pt,XXX,Ord,Organism specific culture,94620-2
https://loinc.org/94622-8,2020-04-01,BVDV Ag/Pos cntrl XXX IA,Bovine diarrhea virus Ag/Positive control in Unspecified specimen by Immunoassay,Bovine diarrhea virus Ag/Positive control,RelRto,Pt,XXX,Qn,IA,94622-8
https://loinc.org/94635-0,2020-04-01,BVDV RNA Ct XXX Qn NAA+probe,Bovine diarrhea virus RNA [Cycle Threshold #] in Unspecified specimen by NAA with probe detection,Bovine diarrhea virus RNA,ThreshNum,Pt,XXX,Qn,Probe.amp.tar,94635-0
https://loinc.org/94610-3,2020-04-01,BVDV subtype XXX NAA+probe,Bovine diarrhea virus subtype [Identifier] in Unspecified specimen by NAA with probe detection,Bovine diarrhea virus subtype,Prid,Pt,XXX,Nom,Probe.amp.tar,94610-3
https://loinc.org/94619-4,2020-04-01,BoHV1 XXX Ql Cult,Bovine herpesvirus 1 [Presence] in Unspecified specimen by Organism specific culture,Bovine herpesvirus 1,PrThr,Pt,XXX,Ord,Organism specific culture,94619-4
https://loinc.org/94615-2,2020-04-01,BoHV1 DNA Ct XXX Qn NAA+probe,Bovine herpesvirus 1 DNA [Cycle Threshold #] in Unspecified specimen by NAA with probe detection,Bovine herpesvirus 1 DNA,ThreshNum,Pt,XXX,Qn,Probe.amp.tar,94615-2
https://loinc.org/94609-5,2020-04-01,BLV Ab Ser IA-aCnc,Bovine leukemia virus Ab [Units/volume] in Serum by Immunoassay,Bovine leukemia virus Ab,ACnc,Pt,Ser,Qn,IA,94609-5
https://loinc.org/94614-5,2020-04-01,BPIV3 RNA Ct XXX Qn NAA+probe,Bovine parainfluenza virus 3 RNA [Cycle Threshold #] in Unspecified specimen by NAA with probe detection,Bovine parainfluenza virus 3 RNA,ThreshNum,Pt,XXX,Qn,Probe.amp.tar,94614-5
https://loinc.org/94618-6,2020-04-01,BRSV XXX Ql Cult,Bovine respiratory syncytial virus [Presence] in Unspecified specimen by Organism specific culture,Bovine respiratory syncytial virus,PrThr,Pt,XXX,Ord,Organism specific culture,94618-6
https://loinc.org/94638-4,2020-04-01,BRSV Ab Titr Ser Nt,Bovine respiratory syncytial virus Ab [Titer] in Serum by Neutralization test,Bovine respiratory syncytial virus Ab,Titr,Pt,Ser,Qn,Neut,94638-4
https://loinc.org/94613-7,2020-04-01,BRSV Ag Tiss Ql ImStn,Bovine respiratory syncytial virus Ag [Presence] in Tissue by Immune stain,Bovine respiratory syncytial virus Ag,PrThr,Pt,Tiss,Ord,Immune stain,94613-7
https://loinc.org/94636-8,2020-04-01,BRSV RNA Ct XXX Qn NAA+probe,Bovine respiratory syncytial virus RNA [Cycle Threshold #] in Unspecified specimen by NAA with probe detection,Bovine respiratory syncytial virus RNA,ThreshNum,Pt,XXX,Qn,Probe.amp.tar,94636-8
https://loinc.org/94634-3,2020-04-01,C burnet DNA Ct XXX Qn NAA+probe,Coxiella burnetii DNA [Cycle Threshold #] in Unspecified specimen by NAA with probe detection,Coxiella burnetii DNA,ThreshNum,Pt,XXX,Qn,Probe.amp.tar,94634-3
https://loinc.org/94633-5,2020-04-01,C parvum DNA Ct XXX Qn NAA+probe,Cryptosporidium parvum DNA [Cycle Threshold #] in Unspecified specimen by NAA with probe detection,Cryptosporidium parvum DNA,ThreshNum,Pt,XXX,Qn,Probe.amp.tar,94633-5
https://loinc.org/94597-2,2020-04-01,EAdV1 RNA XXX Ql NAA+probe,Equine adenovirus 1 RNA [Presence] in Unspecified specimen by NAA with probe detection,Equine adenovirus 1 RNA,PrThr,Pt,XXX,Ord,Probe.amp.tar,94597-2
https://loinc.org/94604-6,2020-04-01,EAV RNA Ct XXX Qn NAA+probe,Equine arteritis virus RNA [Cycle Threshold #] in Unspecified specimen by NAA with probe detection,Equine arteritis virus RNA,ThreshNum,Pt,XXX,Qn,Probe.amp.tar,94604-6
https://loinc.org/94605-3,2020-04-01,EHV1 RNA Ct XXX Qn NAA+probe,Equine herpesvirus 1 RNA [Cycle Threshold #] in Unspecified specimen by NAA with probe detection,Equine herpesvirus 1 RNA,ThreshNum,Pt,XXX,Qn,Probe.amp.tar,94605-3
https://loinc.org/94598-0,2020-04-01,EHV2 RNA XXX Ql NAA+probe,Equine herpesvirus 2 RNA [Presence] in Unspecified specimen by NAA with probe detection,Equine herpesvirus 2 RNA,PrThr,Pt,XXX,Ord,Probe.amp.tar,94598-0
https://loinc.org/94599-8,2020-04-01,EHV3 RNA XXX Ql NAA+probe,Equine herpesvirus 3 RNA [Presence] in Unspecified specimen by NAA with probe detection,Equine herpesvirus 3 RNA,PrThr,Pt,XXX,Ord,Probe.amp.tar,94599-8
https://loinc.org/94606-1,2020-04-01,EHV4 RNA Ct XXX Qn NAA+probe,Equine herpesvirus 4 RNA [Cycle Threshold #] in Unspecified specimen by NAA with probe detection,Equine herpesvirus 4 RNA,ThreshNum,Pt,XXX,Qn,Probe.amp.tar,94606-1
https://loinc.org/94596-4,2020-04-01,EIAV Ab Ser IA-aCnc,Equine infectious anemia virus Ab [Units/volume] in Serum by Immunoassay,Equine infectious anemia virus Ab,ACnc,Pt,Ser,Qn,IA,94596-4
https://loinc.org/94600-4,2020-04-01,EIV XXX Ql Cult,Equine influenza virus [Presence] in Unspecified specimen by Organism specific culture,Equine influenza virus,PrThr,Pt,XXX,Ord,Organism specific culture,94600-4
https://loinc.org/94607-9,2020-04-01,ERAV RNA Ct XXX Qn NAA+probe,Equine rhinitis A virus RNA [Cycle Threshold #] in Unspecified specimen by NAA with probe detection,Equine rhinitis A virus RNA,ThreshNum,Pt,XXX,Qn,Probe.amp.tar,94607-9
https://loinc.org/94608-7,2020-04-01,Erbovirus A RNA Ct XXX Qn NAA+probe,Erbovirus A RNA [Cycle Threshold #] in Unspecified specimen by NAA with probe detection,Erbovirus A RNA,ThreshNum,Pt,XXX,Qn,Probe.amp.tar,94608-7
https://loinc.org/94632-7,2020-04-01,E coli K99 DNA Ct Islt Qn NAA+probe,Escherichia coli K99 DNA [Cycle Threshold #] in Isolate by NAA with probe detection,Escherichia coli K99 DNA,ThreshNum,Pt,Isolate,Qn,Probe.amp.tar,94632-7
https://loinc.org/94631-9,2020-04-01,H somnus DNA Ct XXX Qn NAA+probe,Haemophilus somnus DNA [Cycle Threshold #] in Unspecified specimen by NAA with probe detection,Haemophilus somnus DNA,ThreshNum,Pt,XXX,Qn,Probe.amp.tar,94631-9
https://loinc.org/94601-2,2020-04-01,L monocytog Ag Tiss Ql ImStn,Listeria monocytogenes Ag [Presence] in Tissue by Immune stain,Listeria monocytogenes Ag,PrThr,Pt,Tiss,Ord,Immune stain,94601-2
https://loinc.org/94630-1,2020-04-01,M haemolytica DNA Ct XXX Qn NAA+probe,Mannheimia haemolytica DNA [Cycle Threshold #] in Unspecified specimen by NAA with probe detection,Mannheimia haemolytica DNA,ThreshNum,Pt,XXX,Qn,Probe.amp.tar,94630-1
https://loinc.org/94595-6,2020-04-01,Pharmacology Telehealth Med mgmt note,Pharmacology Telehealth Medication management note,Medication management note,Find,Pt,Telehealth,Doc,Pharmacology,94595-6
https://loinc.org/94637-6,2020-04-01,M avium paraTB Ab Titr Ser CF,Mycobacterium avium ss paratuberculosis Ab [Titer] in Serum by Complement fixation,Mycobacterium avium subspecies paratuberculosis Ab,Titr,Pt,Ser,Qn,Comp fix,94637-6
https://loinc.org/94621-0,2020-04-01,M avium paraTB Ab/Pos cntrl XXX IA,Mycobacterium avium ss paratuberculosis Ab/Positive control in Unspecified specimen by Immunoassay,Mycobacterium avium subspecies paratuberculosis Ab/Positive control,RelRto,Pt,XXX,Qn,IA,94621-0
https://loinc.org/94629-3,2020-04-01,M avium paraTB DNA Ct XXX Qn NAA+probe,Mycobacterium avium ss paratuberculosis DNA [Cycle Threshold #] in Unspecified specimen by NAA with probe detection,Mycobacterium avium subspecies paratuberculosis DNA,ThreshNum,Pt,XXX,Qn,Probe.amp.tar,94629-3
https://loinc.org/94612-9,2020-04-01,Mp bovis Ag Tiss Ql ImStn,Mycoplasma bovis Ag [Presence] in Tissue by Immune stain,Mycoplasma bovis Ag,PrThr,Pt,Tiss,Ord,Immune stain,94612-9
https://loinc.org/94628-5,2020-04-01,Mp bovis DNA Ct XXX Qn NAA+probe,Mycoplasma bovis DNA [Cycle Threshold #] in Unspecified specimen by NAA with probe detection,Mycoplasma bovis DNA,ThreshNum,Pt,XXX,Qn,Probe.amp.tar,94628-5
https://loinc.org/94627-7,2020-04-01,N caninum DNA Ct XXX Qn NAA+probe,Neospora caninum DNA [Cycle Threshold #] in Unspecified specimen by NAA with probe detection,Neospora caninum DNA,ThreshNum,Pt,XXX,Qn,Probe.amp.tar,94627-7
https://loinc.org/94594-9,2020-04-01,Neuro surgery Telehealth Note,Neurological surgery Telehealth Note,Note,Find,Pt,Telehealth,Doc,Neurological surgery,94594-9
https://loinc.org/94626-9,2020-04-01,OvHV2 DNA Ct XXX Qn NAA+probe,Ovine herpesvirus 2 DNA [Cycle Threshold #] in Unspecified specimen by NAA with probe detection,Ovine herpesvirus 2 DNA,ThreshNum,Pt,XXX,Qn,Probe.amp.tar,94626-9
https://loinc.org/94625-1,2020-04-01,P multoc DNA Ct XXX Qn NAA+probe,Pasteurella multocida DNA [Cycle Threshold #] in Unspecified specimen by NAA with probe detection,Pasteurella multocida DNA,ThreshNum,Pt,XXX,Qn,Probe.amp.tar,94625-1
https://loinc.org/94611-1,2020-04-01,P multoc Tox toxA XXX Ql NAA+probe,Pasteurella multocida toxin toxA gene [Presence] in Unspecified specimen by NAA with probe detection,Pasteurella multocida toxin toxA gene,PrThr,Pt,XXX,Ord,Probe.amp.tar,94611-1
https://loinc.org/94624-4,2020-04-01,T foet DNA Ct XXX Qn NAA+probe,Tritrichomonas foetus DNA [Cycle Threshold #] in Unspecified specimen by NAA with probe detection,Tritrichomonas foetus DNA,ThreshNum,Pt,XXX,Qn,Probe.amp.tar,94624-4
https://loinc.org/94623-6,2020-04-01,U diversum DNA Ct XXX Qn NAA+probe,Ureaplasma diversum DNA [Cycle Threshold #] in Unspecified specimen by NAA with probe detection,Ureaplasma diversum DNA,ThreshNum,Pt,XXX,Qn,Probe.amp.tar,94623-6
https://loinc.org/94602-0,2020-04-01,WNV IgM/Pos cntrl Ser IA,West Nile virus IgM Ab/Positive control in Serum by Immunoassay,West Nile virus Ab.IgM/Positive control,RelRto,Pt,Ser,Qn,IA,94602-0
https://loinc.org/94592-3,2020-03-31,AML chromo analys Bld/Mar MPSeq,Chromosome rearrangement [Identifier] in Blood or Tissue by Mate pair sequencing Nominal,Chromosome rearrangement,Prid,Pt,Bld/Tiss,Nom,Mate pair sequencing,94592-3
https://loinc.org/94591-5,2020-03-31,Chromosome rearrangement Bld/T,Chromosome rearrangement [Identifier] in Blood or Tissue by Molecular genetics method Narrative,Chromosome rearrangement,Prid,Pt,Bld/Tiss,Nar,Molgen,94591-5
https://loinc.org/94586-5,2020-03-31,MPS panel DBS,Dermatan sulfate and heparan sulfate and keratan sulfate panel - DBS,Dermatan sulfate & heparan sulfate & keratan sulfate panel,-,Pt,Bld.dot,-,,94586-5
https://loinc.org/94587-3,2020-03-31,Germline chromo analy Amn/CVS MPSeq,Germline disorder chromosome analysis in Amniotic fluid or Chorionic villus sample by Mate pair sequencing,Germline disorder chromosome analysis,Find,Pt,Amnio fld/CVS,Doc,Mate pair sequencing,94587-3
https://loinc.org/94589-9,2020-03-31,Hematologic chrom analy Bld/Mar MPSeq,Hematologic neoplasm chromosome analysis in Blood or Marrow by Mate pair sequencing,Hematologic neoplasm chromosome analysis,Find,Pt,Bld/Bone mar,Doc,Mate pair sequencing,94589-9
https://loinc.org/94593-1,2020-03-31,Multiplex Allergy Pnl SerPl,Multiplex allergen panel - Serum or Plasma,Multiplex allergen panel,-,Pt,Ser/Plas,-,,94593-1
https://loinc.org/94588-1,2020-03-31,Myeloid neoplasm chr analy Bld/Mar MPSeq,Myeloid neoplasm chromosome analysis in Blood or Marrow by Mate pair sequencing,Myeloid neoplasm chromosome analysis,Find,Pt,Bld/Bone mar,Doc,Mate pair sequencing,94588-1
