COMPONENT,SYSTEM,SCALE,n2,codes,methods
11-Hydroxyandrosterone^2D post dose dexamethasone,Urine,Qn,2,"57514-2,57515-9",NA|NA
11-Hydroxyandrosterone^2D post high dose dexamethasone,Urine,Qn,2,"57510-0,57511-8",NA|NA
11-Hydroxyandrosterone^pre dose dexamethasone,Urine,Qn,2,"57512-6,57513-4",NA|NA
11-Hydroxyandrosterone^pre high dose dexamethasone,Urine,Qn,2,"57508-4,57509-2",NA|NA
11-Hydroxyetiocholanolone,Urine,Qn,5,"15004-5,26950-6,34210-5,34211-3,6700-9",NA|NA|NA|NA|NA
11-Hydroxyetiocholanolone/Creatinine,Urine,Qn,2,"34212-1,40813-8",NA|NA
11-Hydroxyetiocholanolone^2D post dose dexamethasone,Urine,Qn,2,"57522-5,57523-3",NA|NA
11-Hydroxyetiocholanolone^2D post high dose dexamethasone,Urine,Qn,2,"57518-3,57519-1",NA|NA
11-Hydroxyetiocholanolone^pre dose dexamethasone,Urine,Qn,2,"57520-9,57521-7",NA|NA
11-Hydroxyetiocholanolone^pre high dose dexamethasone,Urine,Qn,2,"57516-7,57517-5",NA|NA
11-Ketoandrosterone,Urine,Qn,6,"15005-2,26943-1,26944-9,34213-9,34214-7,6702-5",NA|NA|NA|NA|NA|NA
11-Ketoandrosterone/Creatinine,Urine,Qn,2,"34215-4,40814-6",NA|NA
11-Ketoandrosterone^2D post dose dexamethasone,Urine,Qn,2,"57481-4,57482-2",NA|NA
11-Ketoandrosterone^2D post high dose dexamethasone,Urine,Qn,2,"57477-2,57478-0",NA|NA
11-Ketoandrosterone^pre dose dexamethasone,Urine,Qn,2,"57479-8,57480-6",NA|NA
11-Ketoandrosterone^pre high dose dexamethasone,Urine,Qn,2,"57475-6,57476-4",NA|NA
11-Ketoetiocholanolone,Urine,Qn,5,"15006-0,34216-2,34217-0,43359-9,6703-3",NA|NA|NA|NA|NA
11-Ketoetiocholanolone/Creatinine,Urine,Qn,2,"34396-2,40815-3",NA|NA
11-Ketoetiocholanolone^2D post dose dexamethasone,Urine,Qn,2,"57489-7,57490-5",NA|NA
11-Ketoetiocholanolone^2D post high dose dexamethasone,Urine,Qn,2,"57485-5,57486-3",NA|NA
11-Ketoetiocholanolone^pre dose dexamethasone,Urine,Qn,2,"57487-1,57488-9",NA|NA
11-Ketoetiocholanolone^pre high dose dexamethasone,Urine,Qn,2,"57483-0,57484-8",NA|NA
11-Oxo-Androsterone/Creatinine,Urine,Qn,2,"40866-6,60547-7",NA|NA
11-Oxo-Etiocholanolone/Creatinine,Urine,Qn,2,"40868-2,60548-5",NA|NA
14-3-3 Ag,CSF,Ord,2,"24031-7,31989-7",IB|NA
14-3-3 Ag,CSF,Qn,3,"27072-8,31990-5,36924-9",IA|NA|NA
16-Alpha hydroxydehydroepiandrosterone,Urine,Qn,3,"73844-3,73845-0,73846-8",NA|NA|NA
16-Alpha hydroxydehydroepiandrosterone/Creatinine,Urine,Qn,2,"44278-0,81801-3",NA|NA
16-Alpha hydroxypregnenolone,Urine,Qn,3,"74506-7,74507-5,74508-3",NA|NA|NA
16-Alpha hydroxypregnenolone/Creatinine,Urine,Qn,2,"43688-1,81799-9",NA|NA
"16-Beta,18-dihydroxydehydroepiandrosterone",Urine,Qn,3,"74503-4,74504-2,74505-9",NA|NA|NA
16-Ketoandrostenediol,Urine,Qn,3,"73847-6,73848-4,73849-2",NA|NA|NA
17-Hydroxycorticosteroids,Urine,Qn,6,"14568-0,1666-7,21036-9,25852-5,34218-8,6866-8",NA|NA|NA|NA|NA|NA
17-Hydroxycorticosteroids/Creatinine,Urine,Qn,3,"34219-6,38472-7,41404-5",NA|NA|NA
17-Hydroxycorticosteroids^2D post dose dexamethasone,Urine,Qn,2,"50248-4,57529-0",NA|NA
17-Hydroxycorticosteroids^2D post high dose dexamethasone,Urine,Qn,2,"50246-8,57527-4",NA|NA
17-Hydroxyketosteroids,Urine,Qn,2,"1667-5,32152-1",NA|NA
17-Hydroxypregnenetriol,Urine,Qn,2,"83138-8,83140-4",NA|NA
17-Hydroxypregnenolone,Ser/Plas,Qn,2,"25316-1,6765-2",NA|NA
17-Hydroxypregnenolone,Urine,Qn,2,"16297-4,21037-7",NA|NA
17-Hydroxypregnenolone^1H post 250 ug corticotropin,Ser/Plas,Qn,2,"13604-4,50079-3",NA|NA
17-Hydroxypregnenolone^30M post 250 ug corticotropin,Ser/Plas,Qn,2,"13605-1,50249-2",NA|NA
17-Hydroxyprogesterone,Amnio fld,Qn,2,"40754-4,69796-1",NA|NA
17-Hydroxyprogesterone,Bld.dot,Qn,4,"38473-5,48616-7,53340-6,92726-9",NA|NA|NA|LC/MS/MS
17-Hydroxyprogesterone,Ser/Plas,Qn,2,"14569-8,1668-3",NA|NA
17-Hydroxyprogesterone,Urine,Qn,6,"14570-6,14571-4,1670-9,26908-4,34220-4,9616-4",NA|NA|NA|NA|NA|NA
17-Hydroxyprogesterone/Creatinine,Urine,Qn,2,"34221-2,63042-6",NA|NA
17-Hydroxyprogesterone^10M post XXX challenge,Ser/Plas,Qn,2,"56614-1,77649-2",NA|NA
17-Hydroxyprogesterone^15M post XXX challenge,Ser/Plas,Qn,2,"56575-4,77650-0",NA|NA
17-Hydroxyprogesterone^1D post dose dexamethasone,Ser/Plas,Qn,2,"57547-2,57548-0",NA|NA
17-Hydroxyprogesterone^1H post XXX challenge,Ser/Plas,Qn,2,"32539-9,48341-2",NA|NA
17-Hydroxyprogesterone^20M post XXX challenge,Ser/Plas,Qn,2,"56615-8,59155-2",NA|NA
17-Hydroxyprogesterone^2D post dose dexamethasone,Ser/Plas,Qn,2,"57549-8,57550-6",NA|NA
17-Hydroxyprogesterone^2H post XXX challenge,Ser/Plas,Qn,2,"32538-1,56617-4",NA|NA
17-Hydroxyprogesterone^30M post XXX challenge,Ser/Plas,Qn,2,"48340-4,53141-8",NA|NA
17-Hydroxyprogesterone^baseline,Ser/Plas,Qn,2,"27996-8,32288-3",NA|NA
17-Hydroxyprogesterone^pre 250 ug corticotropin IM,Ser/Plas,Qn,2,"47533-5,50080-1",NA|NA
17-Hydroxyprogesterone^pre dose dexamethasone,Ser/Plas,Qn,2,"57545-6,57546-4",NA|NA
17-Hydroxyprogesterone+Androstenedione/Cortisol,Bld.dot,Qn,2,"53336-4,53337-2",NA|NA
17-Ketogenic steroids,Bld,Qn,2,"1671-7,1672-5",NA|NA
17-Ketogenic steroids,Urine,Qn,5,"16300-6,1673-3,27866-3,27979-4,50798-8",NA|NA|NA|NA|NA
17-Ketosteroids,Urine,Qn,5,"14572-2,21038-5,25317-9,34222-0,6766-0",NA|NA|NA|NA|NA
17-Ketosteroids.total neutral,Urine,Qn,2,"12769-6,29353-0",NA|NA
17-Ketosteroids/Creatinine,Urine,Qn,3,"33347-6,34223-8,44281-4",NA|NA|NA
17-Ketosteroids^2D post dose dexamethasone,Urine,Qn,2,"50077-7,50244-3",NA|NA
17-Ketosteroids^2D post high dose dexamethasone,Urine,Qn,2,"50242-7,50264-1",NA|NA
17-Ketosteroids^post dose dexamethasone,Urine,Qn,2,"50076-9,50243-5",NA|NA
17-Ketosteroids^post high dose dexamethasone,Urine,Qn,2,"50241-9,50263-3",NA|NA
18-Beta glycyrrhetinate,Urine,Qn,2,"73850-0,73851-8",NA|NA
18-Hydroxycorticosterone,Ser/Plas,Qn,2,"1674-1,50082-7",NA|NA
18-Hydroxycorticosterone,Urine,Qn,2,"42573-6,9639-6",NA|NA
18-Hydroxycortisol,Urine,Qn,4,"14148-1,21039-3,55811-4,55812-2",NA|NA|NA|NA
18-Hydroxydeoxycorticosterone,Ser/Plas,Qn,2,"11206-0,50081-9",NA|NA
2-Dechloroethylifosfamide^1D post dose ifosfamide,Urine,Qn,2,"69809-2,69810-0",NA|NA
2-Dechloroethylifosfamide^2D post dose ifosfamide,Urine,Qn,2,"69811-8,69812-6",NA|NA
2-Dechloroethylifosfamide^3D post dose ifosfamide,Urine,Qn,2,"69813-4,69814-2",NA|NA
2-Dechloroethylifosfamide^4D post dose ifosfamide,Urine,Qn,2,"69815-9,69816-7",NA|NA
2-Dechloroethylifosfamide^5D post dose ifosfamide,Urine,Qn,2,"69817-5,69818-3",NA|NA
2-Dechloroethylifosfamide^6D post dose ifosfamide,Urine,Qn,2,"69820-9,69821-7",NA|NA
2-Dechloroethylifosfamide^7D post dose ifosfamide,Urine,Qn,2,"69823-3,69824-1",NA|NA
2-Dechloroethylifosfamide^pre dose ifosfamide,Urine,Qn,2,"69807-6,69808-4",NA|NA
2-Ethyl-3-Hydroxypropionate/Creatinine,Urine,Qn,3,"13668-9,29523-8,49809-7",NA|NA|NA
"2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine",Urine,Ord,2,"41858-2,58428-4",NA|Confirm
"2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine",Urine,Qn,2,"50542-0,58429-2",NA|Confirm
"2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine cutoff",Urine,Qn,2,"77752-4,77754-0",Screen|Confirm
2-Hydroxy-3-Methylvalerate/Creatinine,Urine,Qn,3,"13669-7,29505-5,49810-5",NA|NA|NA
2-Hydroxyadipate/Creatinine,Urine,Qn,3,"13670-5,29500-6,49811-3",NA|NA|NA
2-Hydroxyglutarate,Urine,Ord,2,"29881-0,43635-2",NA|NA
2-Hydroxyglutarate/Creatinine,Urine,Qn,3,"13672-1,29502-2,49812-1",NA|NA|NA
2-Hydroxyisocaproate/Creatinine,Urine,Qn,4,"13673-9,29503-0,44282-2,49813-9",NA|NA|NA|NA
2-Hydroxyisovalerate/Creatinine,Urine,Qn,3,"13674-7,29504-8,49814-7",NA|NA|NA
2-Hydroxyphenylacetate/Creatinine,Urine,Qn,2,"44283-0,47534-3",NA|NA
2-Methyl-3-Hydroxybutyrate/Creatinine,Urine,Qn,3,"13675-4,25082-9,49815-4",NA|NA|NA
2-Methylbutyrylglycine/Creatinine,Urine,Qn,2,"24435-0,27097-5",NA|NA
2-Methylcitrate,Ser/Plas,Qn,2,"12540-1,26904-3",NA|NA
2-Methylcitrate,Urine,Qn,2,"12539-3,26811-0",NA|NA
2-Methylcitrate/Creatinine,Urine,Qn,3,"13773-7,25114-0,44284-8",NA|NA|NA
"2-Oxo,3-Methylvalerate/Creatinine",Urine,Qn,3,"13676-2,25083-7,49816-2",NA|NA|NA
2-Oxoadipate/Creatinine,Urine,Qn,3,"13677-0,28584-1,29506-3",NA|NA|NA
2-Oxoisocaproate/Creatinine,Urine,Qn,3,"13679-6,25084-5,49817-0",NA|NA|NA
2-Oxoisovalerate/Creatinine,Urine,Qn,3,"13680-4,25085-2,49818-8",NA|NA|NA
"2,3-Diphosphoglycerate",RBC,Qn,3,"15007-8,1675-8,49217-3",NA|NA|NA
"2,4-Dichlorophenoxyacetate",Urine,Qn,2,"16767-6,9806-1",NA|NA
21-Deoxycortisol,Bld.dot,Qn,2,"53341-4,53342-2",NA|NA
21-Deoxycortisol,Ser/Plas,Qn,2,"50250-0,74872-3",NA|NA
25-Hydroxycalciferol,Ser/Plas,Qn,2,"46269-7,49054-0",NA|NA
25-Hydroxyvitamin D2+25-Hydroxyvitamin D3,Ser/Plas,Qn,4,"62292-8,68438-1,83070-3,83071-1",NA|NA|IA|IA
3-Alpha-Androstanediol glucuronide,Ser,Qn,2,"15008-6,1680-8",NA|NA
3-Alpha-Androstanediol glucuronide,Urine,Qn,3,"25855-8,34224-6,34225-3",NA|NA|NA
"3-Hydroxy,3-Methylglutarate/Creatinine",Urine,Qn,3,"13682-0,26583-5,49819-6",NA|NA|NA
3-Hydroxyadipate/Creatinine,Urine,Qn,3,"13683-8,29508-9,49820-4",NA|NA|NA
3-Hydroxyanthranilate,Urine,Qn,2,"55888-2,55889-0",NA|NA
3-Hydroxybenzoylecgonine,Meconium,Qn,2,"40901-1,69012-3",NA|Confirm
3-Hydroxybutyrylcarnitine (C4-OH),Ser/Plas,Qn,2,"18442-4,39000-5",NA|NA
3-Hydroxydodecanedioate/Creatinine,Urine,Qn,2,"21041-9,48084-8",NA|NA
3-Hydroxydodecanoate/Creatinine,Urine,Qn,2,"21042-7,75078-6",NA|NA
3-Hydroxyglutarate/Creatinine,Urine,Qn,3,"13685-3,29510-5,49821-2",NA|NA|NA
3-Hydroxyisobutyrate/Creatinine,Urine,Qn,3,"13686-1,29511-3,49822-0",NA|NA|NA
3-Hydroxyisovalerate/Creatinine,Urine,Qn,3,"13687-9,29514-7,49823-8",NA|NA|NA
3-Hydroxyisovalerylcarnitine (C5-OH),Ser/Plas,Qn,2,"18444-0,39001-3",NA|NA
3-Hydroxylinoleoylcarnitine (C18:2-OH),Ser/Plas,Qn,2,"18464-8,30237-2",NA|NA
3-Hydroxyoleoylcarnitine (C18:1-OH),Ser/Plas,Qn,2,"18465-5,30312-3",NA|NA
3-Hydroxypalmitoylcarnitine (C16-OH),Ser/Plas,Qn,2,"18461-4,30234-9",NA|NA
3-Hydroxyphenylacetate/Creatinine,Urine,Qn,2,"44426-5,44427-3",NA|NA
3-Hydroxypropionate/Creatinine,Urine,Qn,3,"13688-7,29515-4,49824-6",NA|NA|NA
3-Hydroxytetradecenoylcarnitine (C14:1-OH),Ser/Plas,Qn,2,"18459-8,30190-3",NA|NA
3-Hydroxyvalerate/Creatinine,Urine,Qn,2,"13689-5,29516-2",NA|NA
3-Methoxy-4-Hydroxyphenylglycol,Urine,Qn,7,"1684-0,21043-5,50136-1,50137-9,53098-0,53496-6,9695-8",NA|NA|NA|NA|NA|NA|NA
3-Methoxytyramine,Urine,Qn,4,"32618-1,40409-5,48380-0,54344-7",NA|NA|NA|NA
3-Methoxytyramine/Creatinine,Urine,Qn,3,"48381-8,54343-9,80156-3",NA|NA|NA
3-Methylcrotonylglycine/Creatinine,Urine,Qn,3,"13691-1,24436-8,44285-5",NA|NA|NA
3-Methylglutaconate/Creatinine,Urine,Qn,2,"13692-9,25087-8",NA|NA
3-Methylglutarate/Creatinine,Urine,Qn,2,"13693-7,29518-8",NA|NA
3-Methylhistidine,Amnio fld,Qn,2,"13407-2,27176-7",NA|NA
3-Methylhistidine,CSF,Qn,2,"13378-5,26585-0",NA|NA
3-Methylhistidine,Ser/Plas,Qn,3,"1686-5,20635-9,27973-7",NA|NA|NA
3-Methylhistidine,Urine,Qn,6,"1687-3,17860-8,25319-5,25856-6,27046-2,6867-6",NA|NA|NA|NA|NA|NA
3-Methylhistidine/Creatinine,Urine,Qn,6,"13694-5,25857-4,26575-1,28594-0,44286-3,56667-9",NA|NA|NA|NA|NA|NA
3-O-Methyldopa,Ser/Plas,Qn,2,"11229-2,50141-1",NA|NA
3-O-Methyldopa,Urine,Qn,4,"50142-9,50143-7,53097-2,53488-3",NA|NA|NA|NA
"3 alpha, 15 beta, 17 alpha-Trihydroxypregnanediolone",Urine,Qn,3,"82863-2,82864-0,82865-7",NA|NA|NA
"3,4-Dihydroxyphenylacetate",Urine,Qn,3,"53548-4,55816-3,69830-8",NA|NA|NA
"3,4-Dihydroxyphenylacetate/Creatinine",Urine,Qn,2,"53551-8,69831-6",NA|NA
3D printed model,XXX,Doc,2,"85040-4,85041-2",CT|MR
4-Hydroxybenzoate,Urine,Ord,2,"43732-7,43733-5",NA|NA
4-Hydroxymandelate/Creatinine,Urine,Qn,2,"44861-3,47543-4",NA|NA
4-Hydroxyphenylacetate/Creatinine,Urine,Qn,3,"13696-0,25088-6,28585-8",NA|NA|NA
4-Hydroxyphenyllactate/Creatinine,Urine,Qn,3,"13697-8,25089-4,28586-6",NA|NA|NA
4-Hydroxyphenylpyruvate/Creatinine,Urine,Qn,2,"13698-6,29519-6",NA|NA
5-Alpha tetrahydrocortisol^2D post dose dexamethasone,Urine,Qn,2,"57619-9,57620-7",NA|NA
5-Alpha tetrahydrocortisol^2D post high dose dexamethasone,Urine,Qn,2,"57615-7,57616-5",NA|NA
5-Alpha tetrahydrocortisol^pre dose dexamethasone,Urine,Qn,2,"57617-3,57618-1",NA|NA
5-Alpha tetrahydrocortisol^pre high dose dexamethasone,Urine,Qn,2,"57613-2,57614-0",NA|NA
5-Fluorocytosine,Dose,Qn,2,"4102-0,4257-2",NA|NA
5-Fluorocytosine,Isolate,OrdQn,6,"17831-9,18855-7,18925-8,253-5,254-3,7014-4",MIC|NA|NA|MIC|Agar diffusion|Gradient strip
5-Fluorocytosine,Isolate,Qn,2,"17832-7,252-7",MLC|MLC
5-Fluorocytosine,Ser/Plas,Qn,2,"3639-2,46218-4",NA|NA
5-Hydroxyhexanoate/Creatinine,Urine,Qn,3,"13699-4,29521-2,44287-1",NA|NA|NA
5-Hydroxyindoleacetate,CSF,Qn,2,"1692-3,47544-2",NA|NA
5-Hydroxyindoleacetate,Ser/Plas,Qn,2,"1693-1,50149-4",NA|NA
5-Hydroxyindoleacetate,Urine,Ord,2,"12172-3,48168-9",NA|NA
5-Hydroxyindoleacetate,Urine,Qn,7,"14573-0,15009-4,1694-9,1695-6,25971-3,31203-3,72820-4",NA|NA|NA|NA|NA|NA|Confirm
5-Hydroxyindoleacetate/Creatinine,Urine,Qn,4,"11145-0,29520-4,44288-9,47545-9",NA|NA|NA|NA
5-Hydroxytryptophan,Urine,Qn,6,"21045-0,50151-0,53497-4,56525-9,56663-8,58794-9",NA|NA|NA|NA|NA|NA
5-Hydroxytryptophan/Creatinine,Urine,Qn,2,"50152-8,53110-3",NA|NA
5-Methyltetrahydrofolate,CSF,Qn,2,"34637-9,47547-5",NA|NA
5-Oxoproline,Urine,Ord,2,"29872-9,43633-7",NA|NA
5-Oxoproline/Creatinine,Urine,Qn,2,"13700-0,29522-0",NA|NA
6-Alpha hydroxytetrahydro-11-Dehydrocorticosterone^2D post dose dexamethasone,Urine,Qn,2,"57611-6,57612-4",NA|NA
6-Alpha hydroxytetrahydro-11-Dehydrocorticosterone^2D post high dose dexamethasone,Urine,Qn,2,"57607-4,57608-2",NA|NA
6-Alpha hydroxytetrahydro-11-Dehydrocorticosterone^pre dose dexamethasone,Urine,Qn,2,"57609-0,57610-8",NA|NA
6-Alpha hydroxytetrahydro-11-Dehydrocorticosterone^pre high dose dexamethasone,Urine,Qn,2,"57605-8,57606-6",NA|NA
6-Alpha hydroxytetrahydro-11-Deoxycortisol^2D post dose dexamethasone,Urine,Qn,2,"57603-3,57604-1",NA|NA
6-Alpha hydroxytetrahydro-11-Deoxycortisol^2D post high dose dexamethasone,Urine,Qn,2,"57599-3,57600-9",NA|NA
6-Alpha hydroxytetrahydro-11-Deoxycortisol^pre dose dexamethasone,Urine,Qn,2,"57601-7,57602-5",NA|NA
6-Alpha hydroxytetrahydro-11-Deoxycortisol^pre high dose dexamethasone,Urine,Qn,2,"57597-7,57598-5",NA|NA
6-Monoacetylmorphine,Saliva,Ord,2,"74677-6,87816-5",Confirm|Screen
6-Monoacetylmorphine,Saliva,Qn,2,"57300-6,72763-6",NA|Confirm
6-Monoacetylmorphine,Ser/Plas,Ord,3,"14844-5,18343-4,43184-1",NA|Screen|Confirm
6-Monoacetylmorphine,Urine,Ord,7,"10976-9,14845-2,19321-9,19322-7,19591-7,19592-5,27073-6",NA|NA|Screen|Confirm|Screen|Confirm|NA
6-Monoacetylmorphine,Urine,Qn,7,"10975-1,19593-3,19594-1,20514-6,21050-0,55520-1,70197-9",NA|Confirm|NA|Confirm|NA|NA|Confirm
6-Monoacetylmorphine cutoff,Urine,Qn,4,"19323-5,19324-3,19595-8,19596-6",Screen|Confirm|Screen|Confirm
6-Monoacetylmorphine.free,Ser/Plas,Qn,3,"16248-7,46972-6,49749-5",Confirm|Confirm|NA
6-Monoacetylmorphine.free,Urine,Qn,2,"47004-7,51740-9",Confirm|NA
6-Phosphogluconate dehydrogenase,RBC,Qn,2,"1697-2,48998-9",NA|NA
7-Aminoclonazepam,Bld,Qn,2,"59591-8,59592-6",NA|Confirm
7-Aminoclonazepam,Body fld,Qn,2,"59593-4,59594-2",NA|Confirm
7-Aminoclonazepam,Ser/Plas,Qn,2,"28059-4,59595-9",NA|Confirm
7-Aminoclonazepam,Tiss,Qn,2,"59596-7,59597-5",NA|Confirm
7-Aminoclonazepam,Urine,Ord,2,"58365-8,61030-3",Confirm|NA
7-Aminoclonazepam,Urine,Qn,2,"28073-5,51776-3",NA|Confirm
7-Aminoflunitrazepam,Urine,Qn,2,"27084-3,51777-1",NA|Confirm
7-Dehydrocholesterol,Amnio fld,Qn,2,"46700-1,48610-0",NA|NA
7-Dehydrocholesterol,Ser/Plas,Qn,2,"32289-1,33275-9",NA|NA
7-Hydroxyquetiapine,Urine,Qn,2,"77757-3,78918-0",Confirm|NA
8-Dehydrocholesterol,Ser/Plas,Qn,2,"34671-8,56535-8",NA|NA
8-Hydroxyamoxapine,Ser/Plas,Qn,2,"14574-8,1698-0",NA|NA
9-Hydroxyrisperidone,Ser/Plas,Qn,2,"39455-1,9383-1",NA|NA
9-Hydroxyrisperidone,Urine,Qn,2,"60116-1,92654-3",NA|Confirm
A Ab,Ser/Plas,Qn,3,"30314-9,38358-8,38359-6",NA|Antihuman globulin|Immediate spin
A point-nasion line to nasion-B point line,Skull,Qn,3,"32928-4,32929-2,32930-0",XR.measured|CT.measured|Digital model.measured
A wave amplitude,Heart.atrium.left,Qn,2,"80236-3,8582-9",Cardiac catheterization|NA
A wave amplitude,Heart.atrium.right,Qn,2,"80234-8,8583-7",Cardiac catheterization|NA
A wave amplitude,Pulmonary artery.wedge,Qn,2,"80232-2,8584-5",Cardiac catheterization|NA
Abacavir,Isolate,OrdQn,2,"30273-7,30303-2",Phenotyping|NA
Abacavir,Ser/Plas,Qn,2,"29113-8,78773-9",NA|NA
ABO & Rh group,Bld,Nom,2,"77397-8,882-1",Confirm|NA
ABO & Rh group,Bld^newborn,Nom,2,"19057-9,44086-7",NA|NA
ABO group,Bld,Nom,2,"57743-7,883-9",Confirm|NA
ABT492,Isolate,OrdQn,4,"41658-6,41659-4,41660-2,41726-1",MIC|Agar diffusion|Gradient strip|NA
Acanthamoeba sp Ab,Crn,Ord,2,"22077-2,6618-3",NA|IF
Acanthamoeba sp Ab,CSF,Ord,3,"22078-0,6619-1,6620-9",NA|IF|IA
Acanthamoeba sp identified,Eye,Nom,2,"10635-1,10636-9",Organism specific culture|Wet preparation
