n,concept_name,vocabulary_id
442,Eucalyptus globulus pollen extract,RxNorm
440,ferrous cation,RxNorm
439,Neomycin,RxNorm
437,Gelsemium Sempervirens Preparation,RxNorm
431,Phosphoric acid,RxNorm
424,Dexamethasone,RxNorm
424,Glycyrrhiza glabra extract,RxNorm
421,Arginine,RxNorm
419,Equisetum arvense whole extract,RxNorm
417,Silver Nitrate,RxNorm
413,Glycine,RxNorm
411,Rosmarinus Officinalis Preparation,RxNorm
407,Bryonia preparation,RxNorm
404,Lysine,RxNorm
403,Chlorhexidine,RxNorm
402,Copper Gluconate,RxNorm
399,Atropine,RxNorm
398,ST. JOHN'S WORT EXTRACT,RxNorm
398,Humulus lupulus whole extract,RxNorm
390,prednisolone,RxNorm
389,Ethanol,RxNorm
378,Zinc Sulfate,RxNorm
378,Histidine,RxNorm
374,Leucine,RxNorm
370,Taraxacum officinale whole extract,RxNorm
370,silybum marianum seed oil,RxNorm
369,Tryptophan,RxNorm
369,Sodium Fluoride,RxNorm
364,Isoleucine,RxNorm
363,Pyrilamine,RxNorm
362,Aesculus hippocastanum bark extract,RxNorm
360,Calendula officinalis extract,RxNorm
360,Pimpinella anisum extract,RxNorm
359,Citric Acid,RxNorm
359,Valine,RxNorm
358,vitamin D3,RxNorm
356,Threonine,RxNorm
353,Phenylalanine,RxNorm
351,Benzalkonium,RxNorm
351,Chelidonium majus extract,RxNorm
344,methyl salicylate,RxNorm
344,Magnesium Chloride,RxNorm
337,URTICA DIOICA preparation,RxNorm
334,Eucalyptus oil,RxNorm
333,Alanine,RxNorm
328,Gold,RxNorm
325,dexpanthenol,RxNorm
325,Theophylline,RxNorm
325,Proline,RxNorm
322,Betula pubescens bark extract,RxNorm
319,Nitroglycerin,RxNorm
311,Zinc Gluconate,RxNorm
309,"TOCOPHERYL ACID SUCCINATE,D-ALPHA",RxNorm
308,Urea,RxNorm
308,Ginseng Preparation,RxNorm
308,Strychnos nux-vomica whole extract,RxNorm
307,Petrolatum,RxNorm
307,alpha Tocopherol,RxNorm
303,"belladonna extract, USP",RxNorm
301,Achillea millefolium extract,RxNorm
300,valerian root extract,RxNorm
300,Serine,RxNorm
299,dimethicone,RxNorm
299,Simethicone,RxNorm
298,Aluminum Hydroxide,RxNorm
298,Calcium Chloride,RxNorm
297,Glutamate,RxNorm
297,Lactate,RxNorm
297,APIS MELLIFERA VEN PROTEIN,RxNorm
297,Aconitum napellus extract,RxNorm
292,Arnica montana Extract,RxNorm
292,Juniperus communis whole extract,RxNorm
285,Copper,RxNorm
283,Solidago virgaurea whole extract,RxNorm
281,Coal Tar,RxNorm
281,Isopropyl Alcohol,RxNorm
279,Estradiol,RxNorm
279,Ergocalciferol,RxNorm
274,Echinacea purpurea extract,RxNorm
273,Hydrastis canadensis whole preparation,RxNorm
273,Salvia officinalis whole extract,RxNorm
272,Thuja occidentalis preparation,RxNorm
271,magnesium carbonate,RxNorm
270,Benzoate,RxNorm
270,Epinephrine,RxNorm
263,Betamethasone,RxNorm
263,pine needle oil (pinus mugo),RxNorm
262,"sennosides, USP",RxNorm
262,Allantoin,RxNorm
262,heparin,RxNorm
259,Copper Sulfate,RxNorm
259,Gentiana lutea root extract,RxNorm
258,Magnesium Hydroxide,RxNorm
257,Hamamelis virginiana whole extract,RxNorm
255,caraway seed allergenic extract,RxNorm
254,Dipyrone,RxNorm
254,LEVOMENTHOL,RxNorm
253,Vitamin B12 (Cyanocobalamin),RxNorm Extension
252,"CHROMIUM, CHELATED",RxNorm
249,Turpentine,RxNorm
249,Brompheniramine,RxNorm
248,Aluminum carbonate,RxNorm
248,Passiflora incarnata extract,RxNorm
247,phenol,RxNorm
247,Berberis vulgaris whole extract,RxNorm
246,Ammonium Chloride,RxNorm
240,Magnesium Sulfate,RxNorm
239,potassium citrate,RxNorm
239,Hydrocodone,RxNorm
238,Acetic Acid,RxNorm
238,Scopolamine,RxNorm
236,Conium maculatum preparation,RxNorm
235,Pancreatin,RxNorm
234,Arsenic,RxNorm
230,Papaverine,RxNorm
229,Tyrosine,RxNorm
228,Triamcinolone,RxNorm
227,Rutin,RxNorm
227,Paraffin,RxNorm
226,"ZINC, CHELATED",RxNorm
222,Toxicodendron pubescens leaf extract,RxNorm
221,Hydrochlorothiazide,RxNorm
219,Nicotine,RxNorm
218,manganese sulfate,RxNorm
218,Oats preparation,RxNorm
217,Selenicereus grandiflorus stem extract,RxNorm
217,Convallaria majalis extract,RxNorm
215,salicylamide,RxNorm
214,Fluorine,RxNorm
214,Sanguinaria canadensis extract,RxNorm
213,Nystatin,RxNorm
212,Strychnos ignatii preparation,RxNorm
211,propyphenazone,RxNorm
211,Arctostaphylos uva-ursi leaf extract,RxNorm
209,Aloe Extract,RxNorm
209,ferrous sulfate,RxNorm
209,Tin,RxNorm
209,Pinus sylvestris bark extract,RxNorm
206,Cascara sagrada,RxNorm
206,Polymyxin B,RxNorm
206,Antipyrine,RxNorm
206,Activated Charcoal,RxNorm
206,MERCURIC CATION,RxNorm
203,Capsicum extract,RxNorm
202,Lycopodium clavatum whole extract,RxNorm
201,Docusate,RxNorm
201,Erythromycin,RxNorm
201,Bismuth,RxNorm
201,Lachesis muta whole extract,RxNorm
200,Tetracaine,RxNorm
200,Molybdenum,RxNorm
200,Eucalyptol,RxNorm
200,ZINC CITRATE,RxNorm
199,Hyoscyamine,RxNorm
199,Ibuprofen,RxNorm
198,PRIMULA VERIS FLOWER EXTRACT,RxNorm
197,Senna Leaves,RxNorm
197,Drosera rotundifolia extract,RxNorm
197,Antimony,RxNorm
197,DL-Lactic Acid,RxNorm
196,Cetylpyridinium,RxNorm
192,Acetylcysteine,RxNorm
190,magnesium amino acid chelate,RxNorm
189,Calcium Citrate,RxNorm
188,boric acid,RxNorm
187,Penicillin G,RxNorm
186,Vitamin B2 (Riboflavin),RxNorm Extension
185,Peppermint preparation,RxNorm
184,Artemisia absinthium extract,RxNorm
183,Iron,RxNorm
183,Saw palmetto extract,RxNorm
183,Ginkgo biloba extract,RxNorm
182,Sambucus nigra whole extract,RxNorm
181,Amylases,RxNorm
181,Capsaicin,RxNorm
181,chloroxylenol,RxNorm
181,Passion flower extract,RxNorm
181,Frangula alnus bark extract,RxNorm
180,Black Cohosh Extract,RxNorm
180,calcium phosphate,RxNorm
180,Cephaelis Ipecacuanha Preparation,RxNorm
179,Pheniramine,RxNorm
179,sodium citrate,RxNorm
179,Pulsatilla koreana whole extract,RxNorm
179,Gentamicin,RxNorm
178,Papain,RxNorm
178,Amoxicillin,RxNorm
177,phenyltoloxamine,RxNorm
176,Sepia officinalis juice,RxNorm
175,hyaluronate,RxNorm
175,Rauwolfia preparation,RxNorm
175,polidocanol,RxNorm
174,Calcium ascorbate,RxNorm
172,Promethazine,RxNorm
172,Charcoal,RxNorm
172,Thymol,RxNorm
172,Dibasic potassium phosphate,RxNorm
172,Taraxacum officinale leaf extract,RxNorm
170,Glucosamine,RxNorm
170,Eupatorium perfoliatum preparation,RxNorm
168,Aspartic Acid,RxNorm
168,Silicones,RxNorm
168,Lobelia inflata preparation,RxNorm
167,Fentanyl,RxNorm
167,Ipecac,RxNorm
166,Chloramphenicol,RxNorm
166,Diclofenac,RxNorm
166,Tetracycline,RxNorm
166,MANGANESE GLUCONATE,RxNorm
165,Zinc,RxNorm
165,Hyoscyamus niger extract,RxNorm
164,Pulsatilla vulgaris extract,RxNorm
163,Naphazoline,RxNorm
163,Lycopodium Clavatum Preparation,RxNorm
163,Cinchona bark extract,RxNorm
163,Ledum palustre twig extract,RxNorm
163,Solanum dulcamara stem extract,RxNorm
162,ferrous gluconate,RxNorm
161,Phenylbutazone,RxNorm
161,Povidone-Iodine,RxNorm
161,Cupric oxide,RxNorm
161,Angelica archangelica leaf extract,RxNorm
159,CHAMOMILE FLOWERS,RxNorm
159,Lavandula angustifolia whole extract,RxNorm
158,chromic chloride,RxNorm
158,Vitex agnus-castus whole extract,RxNorm
156,pectin,RxNorm
155,Citrullus colocynthis fruit extract,RxNorm
154,Quinine,RxNorm
154,Bromhexine,RxNorm
154,Colchicum autumnale whole extract,RxNorm
153,pramoxine,RxNorm
151,Mineral Oil,RxNorm
151,Bacitracin,RxNorm
151,Benzoyl Peroxide,RxNorm
151,Kaolin,RxNorm
151,malic acid,RxNorm
151,VERATRUM ALBUM Preparation,RxNorm
151,Rosa canina whole extract,RxNorm
150,potassium phosphate,RxNorm
150,Silicon,RxNorm
150,Leonurus cardiaca extract,RxNorm
149,Ethinyl Estradiol,RxNorm
148,carbetapentane,RxNorm
148,Triclosan,RxNorm
147,Cetraria islandica subsp. islandica extract,RxNorm
147,Allium sativum whole extract,RxNorm
145,Lactobacillus acidophilus,RxNorm
145,Morphine,RxNorm
145,Ampicillin,RxNorm
145,Parsley extract,RxNorm
143,"Sodium Phosphate, Dibasic",RxNorm
143,Symphytum officinale whole extract,RxNorm
143,Myristica fragrans whole extract,RxNorm
142,Cysteine,RxNorm
141,Sodium Ascorbate,RxNorm
141,Soybean preparation,RxNorm
141,CITRUS AURANTIUM LEAFY TWIG OIL,RxNorm
140,Endopeptidases,RxNorm
140,Beclomethasone,RxNorm
140,dihydrocodeine,RxNorm
140,Ruta graveolens preparation,RxNorm
140,Ononis Spinosa,RxNorm Extension
140,Cynara scolymus leaf extract,RxNorm
139,Adonis vernalis extract,RxNorm
138,"diphtheria toxoid vaccine, inactivated",RxNorm
138,levothyroxine,RxNorm
138,Soybean Lecithin,RxNorm
138,Lead,RxNorm
138,Spigelia anthelmia preparation,RxNorm
137,sodium sulfate,RxNorm
136,sodium molybdate(VI),RxNorm
136,Cinnamomum camphora leaf extract,RxNorm
136,Betula pendula leaf extract,RxNorm
136,AESCULUS HIPPOCASTANUM SEED OIL,RxNorm
135,"Sodium Phosphate, Monobasic",RxNorm
135,alginic acid,RxNorm
134,iron succinyl milk protein complex,RxNorm
134,potassium bicarbonate,RxNorm
134,Plantago lanceolata leaf extract,RxNorm
133,Doxylamine,RxNorm
133,Factor VIII,RxNorm
133,Reserpine,RxNorm
133,linoleate,RxNorm
132,Ergotamine,RxNorm
132,Albuterol,RxNorm
131,Procaine,RxNorm
131,Psyllium,RxNorm
131,Chondroitin Sulfates,RxNorm
131,Ornithine,RxNorm
131,Lecithin,RxNorm
131,Chromium,RxNorm
130,Undecylenate,RxNorm
130,Sorbitol,RxNorm
130,Lipase,RxNorm
129,Miconazole,RxNorm
129,magnesium citrate,RxNorm
129,Aminophylline,RxNorm
129,Thyme preparation,RxNorm
129,Docosahexaenoate,RxNorm
129,Ammonium,RxNorm
128,Octinoxate,RxNorm
128,Oxytetracycline,RxNorm
128,Selenite,RxNorm
128,Barberry Extract,RxNorm
127,Metronidazole,RxNorm
127,Melissa officinalis flowering top extract,RxNorm
126,Clotrimazole,RxNorm
126,Bromelains,RxNorm
126,Baptisia tinctoria extract,RxNorm
125,homatropine,RxNorm
125,Tyrothricin,RxNorm
125,Creosote,RxNorm
125,Calcium Gluconate,RxNorm
124,Zinc Acetate,RxNorm
124,Centaurium erythraea preparation,RxNorm
123,Betaine,RxNorm
123,Delphinium Staphisagria Preparation,RxNorm
123,titanium dioxide,RxNorm
123,Hedera helix flowering twig extract,RxNorm
122,Metoclopramide,RxNorm
122,Lanolin,RxNorm
121,Euphrasia officinalis preparation,RxNorm
121,coenzyme Q10,RxNorm
121,Peppermint oil,RxNorm
121,Natural graphite,RxNorm
121,Fucus vesiculosus extract,RxNorm
121,Anamirta cocculus whole extract,RxNorm
120,Meprobamate,RxNorm
120,Budesonide,RxNorm
120,CALCIUM AMINO ACID CHELATE,RxNorm
120,Bellis perennis extract,RxNorm
120,ferric cation,RxNorm
119,resorcinol,RxNorm
119,Cantharidin,RxNorm
119,Potassium gluconate,RxNorm
119,Salix alba bark extract,RxNorm
119,Phytolacca americana whole extract,RxNorm
118,Cobalt,RxNorm
117,hypromellose,RxNorm
117,Witch Hazel,RxNorm
117,Somatropin,RxNorm
117,Vanadium,RxNorm
117,Dequalinium,RxNorm
117,Ambroxol,RxNorm
117,Plantago Seed,RxNorm
117,Orthosiphon,RxNorm Extension
116,Testosterone,RxNorm
116,Pepsin A,RxNorm
116,Curcuma longa whole extract,RxNorm
115,Althaea officinalis flower extract,RxNorm
114,chlophedianol,RxNorm
114,Oxygen,RxNorm
114,calcium lactate,RxNorm
114,Hamamelis virginiana leaf extract,RxNorm
113,"tetanus toxoid vaccine, inactivated",RxNorm
112,Methenamine,RxNorm
112,Peruvian balsam,RxNorm
112,Soybean Oil,RxNorm
112,Sodium Acetate,RxNorm
112,Saccharomyces cerevisiae,RxNorm
111,Propylene glycol,RxNorm
111,Ichtyolammonium,RxNorm Extension
111,Barium,RxNorm
110,Penicillin V,RxNorm
110,PULSATILLA PRATENSIS EXTRACT,RxNorm
109,Benzethonium,RxNorm
109,Benzyl Alcohol,RxNorm
109,carbinoxamine,RxNorm
109,Trimethoprim,RxNorm
108,Polysaccharide iron complex,RxNorm
108,Sulfadiazine,RxNorm
108,Bile Salts,RxNorm
108,Peumus boldus leaf extract,RxNorm
107,N-acetyltyrosine,RxNorm
107,Cod Liver Oil,RxNorm
107,Bromine,RxNorm
107,Allium cepa whole extract,RxNorm
106,Carboxymethylcellulose,RxNorm
106,Timothy grass pollen extract,RxNorm
105,formic acid,RxNorm
105,Hawthorn preparation,RxNorm
105,Aconite,RxNorm
105,Claviceps Purpurea Sclerotium,RxNorm
104,Phenolphthalein,RxNorm
104,Hydrogen Peroxide,RxNorm
104,magnesium acetate,RxNorm
104,Drimia maritima bulb extract,RxNorm
104,Iris versicolor root extract,RxNorm
103,Thrombin,RxNorm
103,Garlic preparation,RxNorm
103,Tilia extract,RxNorm
103,monofluorophosphate,RxNorm
103,Gonolobus Cundurango,RxNorm Extension
103,Causticum preparation,RxNorm
103,Nitric Acid,RxNorm
102,Methscopolamine,RxNorm
102,magnesium phosphate,RxNorm
102,arsenate,RxNorm
101,Calamine,RxNorm
101,sodium phosphate,RxNorm
101,Mercury,RxNorm
101,Myrrh extract,RxNorm
100,"acellular pertussis vaccine, inactivated",RxNorm
100,zinc pyrithione,RxNorm
100,thyroid (USP),RxNorm
100,zinc chloride,RxNorm
100,Honey preparation,RxNorm
100,Potentilla anserina whole extract,RxNorm
100,Cinnamomum camphora resin,RxNorm
99,dexchlorpheniramine,RxNorm
99,Potassium Acetate,RxNorm
99,Filipendula ulmaria flower extract,RxNorm
98,Framycetin,RxNorm
98,lauromacrogols,RxNorm
98,Verbascum thapsus extract,RxNorm
97,Dibucaine,RxNorm
97,fluticasone,RxNorm
97,ferrous phosphate,RxNorm
97,etofylline,RxNorm
97,Chamomile Flower Oil,RxNorm
97,Thuja occidentalis bark extract,RxNorm
97,Syzygium aromaticum whole extract,RxNorm
96,dexbrompheniramine,RxNorm
96,Vitamin B12 (Vitamin B12),RxNorm Extension
95,Clindamycin,RxNorm
95,Sulfacetamide,RxNorm
95,Belladonna Alkaloids,RxNorm
95,Melatonin,RxNorm
95,Devil's claw preparation,RxNorm
95,Sodium Acetate Trihydrate,RxNorm
95,Lithium,RxNorm
94,Pilocarpine,RxNorm
94,Eicosapentaenoate,RxNorm
94,Hypericum Perforatum Flower extract,RxNorm
94,Scrophularia nodosa extract,RxNorm
94,Wheat preparation,RxNorm
93,Hydrofluoric Acid,RxNorm
93,Milk thistle extract,RxNorm
93,Cetrimide,RxNorm
93,Daphne mezereum whole extract,RxNorm
92,Nitrofurantoin,RxNorm
92,Furosemide,RxNorm
92,Dyphylline,RxNorm
92,guaiacolsulfonate,RxNorm
92,Methylprednisolone,RxNorm
92,Vitamin K 1,RxNorm
92,Urtica urens extract,RxNorm
92,Picea abies leaf extract,RxNorm
91,Clioquinol,RxNorm
91,Triprolidine,RxNorm
91,Metformin,RxNorm
91,Nitrogen,RxNorm
91,Acorus calamus extract,RxNorm
91,juniper berry oil,RxNorm
91,Viola tricolor extract,RxNorm
91,Phytolacca Decandra,RxNorm Extension
90,Sulfanilamide,RxNorm
90,Hops extract,RxNorm
90,Xylitol,RxNorm
89,riboflavin 5'-phosphate,RxNorm
89,Oyster shell calcium carbonate preparation,RxNorm
88,Omega-3 Acid Ethyl Esters (USP),RxNorm
88,Clavulanate,RxNorm
88,Greater Celandine,RxNorm
88,Hesperidin,RxNorm
88,diphenylpyraline,RxNorm
88,formica rufa extract,RxNorm Extension
88,Flavin-Adenine Dinucleotide,RxNorm
87,Grape Seed Extract,RxNorm
87,Formaldehyde,RxNorm
87,Ciprofloxacin,RxNorm
87,Liver Extract,RxNorm
87,Vitamin D (Cholecalciferol),RxNorm Extension
86,Phenytoin,RxNorm
86,Heavy mineral oil,RxNorm
86,Dihydroergotamine,RxNorm
86,isoniazid,RxNorm
86,Barbital,RxNorm
86,CITRUS LIMON FRUIT OIL,RxNorm
86,Digitalis purpurea whole extract,RxNorm
85,magnesium trisilicate,RxNorm
85,Ketoconazole,RxNorm
85,POLYETHYLENE GLYCOL 3350,RxNorm
85,Magnesium Aspartate,RxNorm
85,Escin,RxNorm
85,Canada goldenrod pollen extract,RxNorm
85,Comfrey leaf extract,RxNorm
84,Thyme oil,RxNorm
84,Turnera diffusa leaf extract,RxNorm
83,Diazepam,RxNorm
83,fluocinolone,RxNorm
83,Sulfuric acid,RxNorm
83,Tannic Acid,RxNorm
83,Rhubarb preparation,RxNorm
83,Cyclamen purpurascens tuber extract,RxNorm
82,Tretinoin,RxNorm
82,Dimenhydrinate,RxNorm
82,Naproxen,RxNorm
82,ginger root,RxNorm
82,factor IX,RxNorm
82,Benzydamine,RxNorm
82,guaiazulene,RxNorm
82,Histamine,RxNorm
82,POISON IVY EXTRACT,RxNorm
81,Ipratropium,RxNorm
81,Noscapine,RxNorm
81,Apis mellifera preparation,RxNorm
81,ethaverine,RxNorm
81,calcium sulfide,RxNorm
81,Tussilago farfara extract,RxNorm
81,Coriandrum sativum whole extract,RxNorm
81,Citrullus colocynthis whole extract,RxNorm
80,Mometasone,RxNorm
80,Spironolactone,RxNorm
80,yohimbine,RxNorm
80,gamma-Linolenate,RxNorm
80,Aluminum Oxide,RxNorm
80,Potassium Dichromate,RxNorm
79,Naloxone,RxNorm
79,Oxycodone,RxNorm
79,Amlodipine,RxNorm
79,Immunoglobulin G,RxNorm
79,meadow fescue grass pollen extract,RxNorm
78,Anthralin,RxNorm
78,Hydrochloric Acid,RxNorm
78,Mannitol,RxNorm
78,Piroxicam,RxNorm
78,Indomethacin,RxNorm
78,Adenosine,RxNorm
78,Thioctate,RxNorm
78,Hexachlorophene,RxNorm
78,Water,RxNorm
78,troxerutin,RxNorm
78,MANGANESE CITRATE,RxNorm
78,Chlorobutanol,RxNorm
78,Lycopus virginicus extract,RxNorm
78,kalmia latifolia leaf,RxNorm
78,Actaea racemosa whole extract,RxNorm
77,Amiloride,RxNorm
77,Methadone,RxNorm
77,Isoproterenol,RxNorm
77,Metoprolol,RxNorm
77,Norethindrone,RxNorm
77,pholcodine,RxNorm
77,Estriol,RxNorm
77,Guaiacol,RxNorm
77,Mandragora officinarum preparation,RxNorm
77,1-Propanol,RxNorm
77,Strophanthus kombe whole extract,RxNorm
76,Lactase,RxNorm
76,Buprenorphine,RxNorm
76,Propoxyphene,RxNorm
76,Clove oil,RxNorm
76,glycol salicylate,RxNorm
76,Burdock root extract,RxNorm
76,sodium selenate,RxNorm
76,Paeonia officinalis whole extract,RxNorm
75,Chlorophyll,RxNorm
75,Calcium Glycerophosphate,RxNorm
75,Bioflavonoids,RxNorm
75,Taurine,RxNorm
75,Clematis recta flowering top extract,RxNorm
75,Dioscorea villosa tuber extract,RxNorm
75,Juglans regia leaf extract,RxNorm
75,Ammi visnaga fruit extract,RxNorm
74,"poliovirus vaccine inactivated, type 1 (Mahoney)",RxNorm
74,Lactulose,RxNorm
74,Digoxin,RxNorm
74,Propranolol,RxNorm
74,Amphotericin B,RxNorm
74,proxyphylline,RxNorm
74,Glycerophosphoric Acid,RxNorm Extension
74,Cucurbita pepo whole extract,RxNorm
73,Hydromorphone,RxNorm
73,Echinacea Preparation,RxNorm
73,Evening primrose extract,RxNorm
73,potassium carbonate,RxNorm
73,Cinchona officinalis bark extract,RxNorm
73,Smilax aristolochiaefolia root extract,RxNorm
73,Zingiber officinale whole extract,RxNorm
73,Cichorium intybus whole extract,RxNorm
72,Omeprazole,RxNorm
72,Glycopyrrolate,RxNorm
72,Doxycycline,RxNorm
72,Griseofulvin,RxNorm
72,Cefuroxime,RxNorm
72,potassium sulfate,RxNorm
72,Dehydrocholate,RxNorm
72,ginseng root,RxNorm
72,Curcuma xanthorrhiza oil,RxNorm
72,Inula helenium root extract,RxNorm
72,Calcium Phosphate (Tribasic),RxNorm Extension
71,Valproate,RxNorm
71,Timolol,RxNorm
71,Castor Oil,RxNorm
71,Iron Carbonyl,RxNorm
71,Progesterone,RxNorm
71,Syzygium cumini fruit extract,RxNorm
71,Rhododendron aureum leaf extract,RxNorm
71,Lilium lancifolium whole extract,RxNorm
70,Amitriptyline,RxNorm
70,oxybenzone,RxNorm
70,Gentamicin Sulfate (USP),RxNorm
70,Piperonyl Butoxide,RxNorm
70,Chlorothiazide,RxNorm
70,Isosorbide Dinitrate,RxNorm
70,Clonidine,RxNorm
70,"Estrogens, Conjugated (USP)",RxNorm
70,Levonorgestrel,RxNorm
70,Escherichia coli,RxNorm
70,tartaric acid,RxNorm
70,Carbon Dioxide,RxNorm
70,Fibrinogen,RxNorm
70,Esculin,RxNorm
69,trichloroacetaldehyde,RxNorm
69,hydroquinone,RxNorm
69,Bendroflumethiazide,RxNorm
69,"Albumin Human, USP",RxNorm
69,Hydroxocobalamin,RxNorm
69,Ethylmorphine,RxNorm
69,Propolis,RxNorm
69,Silver preparation,RxNorm
69,european olive pollen extract,RxNorm
69,Aralia racemosa root extract,RxNorm
69,Luffa operculata whole extract,RxNorm
69,Nicotiana tabacum whole extract,RxNorm
68,Calcium Fluoride,RxNorm
68,ethenzamide,RxNorm
68,HAWTHORN BERRY,RxNorm
68,nickel sulfate,RxNorm
68,"POTASSIUM,CHELATED",RxNorm
68,Panthenol,RxNorm
68,Datura stramonium extract,RxNorm
67,Methylene blue,RxNorm
67,xylometazoline,RxNorm
67,butabarbital,RxNorm
67,Verapamil,RxNorm
67,crataegus extract,RxNorm
67,Collagen,RxNorm
67,Chamomile extract,RxNorm
67,Piper methysticum whole extract,RxNorm
67,Vitamin D3 (Cholecalciferol),RxNorm Extension
66,Hydralazine,RxNorm
66,Acyclovir,RxNorm
66,Pyrantel,RxNorm
66,pentaerythritol,RxNorm
66,royal jelly,RxNorm
66,MAGNESIUM GLUCONATE,RxNorm
66,Podophyllum peltatum preparation,RxNorm
66,Echinacea pallida root extract,RxNorm
66,Amanita muscaria extract,RxNorm
66,Spongia officinalis preparation,RxNorm
66,Capsella bursa-pastoris extract,RxNorm
66,picrate,RxNorm
65,Phenazopyridine,RxNorm
65,Nifedipine,RxNorm
65,methylsulfonylmethane,RxNorm
65,Fusidate,RxNorm
65,Heroin,RxNorm
65,Helleborus niger root extract,RxNorm
65,Malva sylvestris flower extract,RxNorm
65,Nerium oleander leaf extract,RxNorm
65,Cytisus scoparius flower extract,RxNorm
65,Polygala senega whole extract,RxNorm
64,mesalamine,RxNorm
64,Methotrexate,RxNorm
64,Ubiquinone,RxNorm
64,Dihydroergocristine,RxNorm
64,Apocynum cannabinum root extract,RxNorm
64,Fumaria officinalis flowering top extract,RxNorm
64,Rubus fruticosus leaf extract,RxNorm
64,Schoenocaulon officinale seed extract,RxNorm
63,Triamterene,RxNorm
63,Polyethylene Glycols,RxNorm
63,Diltiazem,RxNorm
63,Medroxyprogesterone,RxNorm
63,Levocarnitine,RxNorm
63,methylnicotinate,RxNorm
63,Anise oil,RxNorm
63,avobenzone,RxNorm
63,Sulfogaiacol,RxNorm Extension
63,bovine ovary extract,RxNorm Extension
63,Centaurea cyanus flower extract,RxNorm
63,VIBURNUM OPULUS ROOT,RxNorm
63,Sparteine Sulfate,RxNorm Extension
63,Elymus repens whole extract,RxNorm
62,Methylcellulose,RxNorm
62,Ranitidine,RxNorm
62,Captopril,RxNorm
62,desmopressin,RxNorm
62,Edetic Acid,RxNorm
62,Phenacetin,RxNorm
62,onion allergenic extract,RxNorm
62,Guaiacum officinale resin extract,RxNorm
62,Saffron Extract,RxNorm
61,Orphenadrine,RxNorm
61,Pentobarbital,RxNorm
61,Hydroxyzine,RxNorm
61,Chlorpromazine,RxNorm
61,Povidone,RxNorm
61,Inulin,RxNorm
61,Stannous Fluoride,RxNorm
61,metavanadate,RxNorm
61,Pancreas extract,RxNorm
61,Glutamine,RxNorm
61,lavender oil,RxNorm
61,annual bluegrass pollen extract,RxNorm
61,Sodium Ichtosylate,RxNorm Extension
61,Centaurea benedicta extract,RxNorm
61,Vaccinium myrtillus whole extract,RxNorm
61,Prunus spinosa fruit extract,RxNorm
60,"poliovirus vaccine inactivated, type 2 (MEF-1)",RxNorm
60,Bupivacaine,RxNorm
60,Tolnaftate,RxNorm
60,Bisacodyl,RxNorm
60,aluminum chloride,RxNorm
60,Enalapril,RxNorm
60,Phospholipids,RxNorm
60,Silymarin,RxNorm
60,stannous chloride,RxNorm
60,Ferula assa-foetida root extract,RxNorm
60,Ranunculus bulbosus extract,RxNorm
60,Agropyron fragile whole extract,RxNorm
59,TRYPSIN,RxNorm
59,Opium,RxNorm
59,calcium acetate,RxNorm
59,Cromolyn,RxNorm
