concept_name,vocabulary_id
Justicia adhatoda leaf extract,RxNorm
Justicia gendarussa leaf extract,RxNorm
Laricifomes officinalis fruiting body extract,RxNorm
Larix decidua flowering top extract,RxNorm
Larix decidua resin extract,RxNorm
Larrea divaricata leaf extract,RxNorm
calcium aluminum borosilicate,RxNorm
Galanthus nivalis seed extract,RxNorm
levulinate,RxNorm
Gentiana urnula flower extract,RxNorm
Polytetrafluoroethylene,RxNorm
2-pyrrolidone,RxNorm
Berberis vulgaris whole extract,RxNorm
Ceanothus americanus whole extract,RxNorm
Cherry plum extract,RxNorm
Cistus incanus whole extract,RxNorm
EMPETRUM NIGRUM FRUIT JUICE,RxNorm
EMU OIL,RxNorm
enzacamene,RxNorm
EUCALYPTUS POLYBRACTEA LEAF OIL,RxNorm
EUROPEAN HAZELNUT OIL,RxNorm
East Indian Lemongrass Oil,RxNorm
Ecballium elaterium fruit extract,RxNorm
Echinacea angustifolia leaf extract,RxNorm
Equisetum arvense branch extract,RxNorm
Equisetum arvense top extract,RxNorm
Erbium,RxNorm
Dioscorea collettii var. hypoglauca root extract,RxNorm
Tsuga canadensis bark extract,RxNorm
Tsuga canadensis flower bud extract,RxNorm
Turnera diffusa leafy twig extract,RxNorm
Veratrum album root extract,RxNorm
Veratrum viride root extract,RxNorm
Verbascum densiflorum leaf extract,RxNorm
Verbascum phlomoides flower extract,RxNorm
Verbena officinalis flowering top extract,RxNorm
Veronica officinalis flowering top extract,RxNorm
Vetiveria zizanioides root extract,RxNorm
Withania somnifera flower extract,RxNorm
Withania somnifera leaf extract,RxNorm
Dioscorea villosa tuber extract,RxNorm
Diospyros kaki leaf extract,RxNorm
Echinacea purpurea flowering top extract,RxNorm
Eclipta prostrata leaf extract,RxNorm
Eriobotrya japonica leaf extract,RxNorm
Eleutherococcus nodiflorus root bark extract,RxNorm
Elymus repens root extract,RxNorm
Entada phaseoloides leaf extract,RxNorm
Eosine Yellowish,RxNorm
Ephedra distachya flowering twig extract,RxNorm
Trimethylbenzenepropanol,RxNorm
Thymus vulgaris whole extract,RxNorm
apocarotenal,RxNorm
arsenate,RxNorm
Dendrobium nobile stem extract,RxNorm
Gelidiella acerosa extract,RxNorm
GERANIUM EXTRACT,RxNorm
Coconut extract,RxNorm
Cluster fig extract,RxNorm
Achillea millefolium extract,RxNorm
Greater galangal extract,RxNorm
Melilotus extract,RxNorm
Goldenseal extract,RxNorm
Spearmint extract,RxNorm
AMMONIUM SILICOFLUORIDE,RxNorm
Potassium Aspartate,RxNorm
southern yellow jacket venom protein,RxNorm
German wasp venom protein,RxNorm
pertuzumab,RxNorm
western yellow jacket venom protein,RxNorm
Oxolinic Acid,RxNorm
Oxprenolol,RxNorm
dapiprazole,RxNorm
iopentol,RxNorm
iopromide,RxNorm
Mepenzolate,RxNorm
Meperidine,RxNorm
Mersalyl,RxNorm
mesalamine,RxNorm
Minoxidil,RxNorm
Oxymorphone,RxNorm
Oxyphenbutazone,RxNorm
Moxalactam,RxNorm
Moxisylyte,RxNorm
Polysaccharide iron complex,RxNorm
Obidoxime,RxNorm
Octoxynol,RxNorm
dioxybenzone,RxNorm
methylene diphosphonate,RxNorm
Interferon beta-1a,RxNorm
metocurine,RxNorm
metopimazine,RxNorm
methylparaben,RxNorm
dichloralphenazone,RxNorm
Matricaria recutita extract,RxNorm
Metyrapone,RxNorm
Nicotinyl Alcohol,RxNorm
Polysorbates,RxNorm
malic acid,RxNorm
Polyvinyl Alcohol,RxNorm
Pancuronium,RxNorm
Opipramol,RxNorm
Opium,RxNorm
dyclonine,RxNorm
Miglustat,RxNorm
Phenazopyridine,RxNorm
Pentylenetetrazole,RxNorm
Niflumic Acid,RxNorm
Monascus purpureus West,RxNorm
Nifuratel,RxNorm
Erwinia asparaginase,RxNorm
Isoflurophate,RxNorm
Isoleucine,RxNorm
Etomidate,RxNorm
Etonogestrel,RxNorm
Etoposide,RxNorm
dolomite,RxNorm
domiphen,RxNorm
Eucalyptus extract,RxNorm
Isoproterenol,RxNorm
Magnesium Chloride,RxNorm
Meprobamate,RxNorm
Leuprolide,RxNorm
Levallorphan,RxNorm
FERROUS ASPARTATE,RxNorm
Pygeum Africanum Preparation,RxNorm
Pyrantel,RxNorm
Petroleum distillate,RxNorm
lypressin,RxNorm
Phloroglucinol,RxNorm
Pargyline,RxNorm
Phenmetrazine,RxNorm
Phenobarbital,RxNorm
icodextrin,RxNorm
levulinic acid,RxNorm
hepatitis B immune globulin,RxNorm
mequitazine,RxNorm
mercuric oxide,RxNorm
meropenem,RxNorm
mesulfen,RxNorm
gadoversetamide,RxNorm
Muramidase,RxNorm
Muromonab-CD3,RxNorm
Meglumine,RxNorm
Melatonin,RxNorm
Metyrosine,RxNorm
micronomicin,RxNorm
midecamycin,RxNorm
Nifurtimox,RxNorm
Nikethamide,RxNorm
Viscum album preparation,RxNorm
SIBERIAN GINSENG ROOT,RxNorm
SIBERIAN GINSENG ROOT EXTRACT,RxNorm
SIMALDRATE,RxNorm
Lysine,RxNorm
Milrinone,RxNorm
Oxandrolone,RxNorm
Oxazepam,RxNorm
Oxerutins,RxNorm
darbepoetin alfa,RxNorm
mycophenolate mofetil,RxNorm
meprednisone,RxNorm
levocetirizine,RxNorm
eletriptan,RxNorm
mequinol,RxNorm
lithium gluconate,RxNorm
lithium succinate,RxNorm
dichlorobenzyl alcohol,RxNorm
dichlorodifluoromethane,RxNorm
butylvinal,RxNorm
buzepide metiodide,RxNorm
cabergoline,RxNorm
clotiazepam,RxNorm
cloxazolam,RxNorm
cobamamide,RxNorm
bamipine,RxNorm
trofosfamide,RxNorm
troglitazone,RxNorm
Tolazoline,RxNorm
Tolbutamide,RxNorm
urea c-13,RxNorm
pegademase bovine,RxNorm
pegfilgrastim,RxNorm
peginterferon alfa-2a,RxNorm
levothyroxine,RxNorm
salmeterol,RxNorm
salmon calcitonin,RxNorm
ziprasidone,RxNorm
zirconium oxide,RxNorm
zofenopril,RxNorm
zoledronic acid,RxNorm
zolmitriptan,RxNorm
sulfacytine,RxNorm
sulfaethidole,RxNorm
sulfametrole,RxNorm
vanadyl sulfate,RxNorm
pramiverine,RxNorm
oxybenzone,RxNorm
pridinol,RxNorm
Vitamin E,RxNorm
toloxatone,RxNorm
tolrestat,RxNorm
tolterodine,RxNorm
azidocillin,RxNorm
bacampicillin,RxNorm
basic aluminum carbonate gel,RxNorm
pramoxine,RxNorm
phenothrin,RxNorm
quinethazone,RxNorm
quinfamide,RxNorm
trovafloxacin,RxNorm
troxerutin,RxNorm
benzquercin,RxNorm
benzquinamide,RxNorm
benzyl benzoate,RxNorm
benzylparaben,RxNorm
Atovaquone,RxNorm
trimethobenzamide,RxNorm
vanillyl-N-nonylamide,RxNorm
vardenafil,RxNorm
varicella-zoster immune globulin,RxNorm
venlafaxine,RxNorm
vinburnine,RxNorm
sobrerol,RxNorm
tolciclate,RxNorm
tolfenamic acid,RxNorm
Verapamil,RxNorm
Vindesine,RxNorm
Urea,RxNorm
Rocuronium,RxNorm
Zinc Acetate,RxNorm
enfuvirtide,RxNorm
pentetreotide,RxNorm
Plum Preparation,RxNorm
zolpidem,RxNorm
zomepirac,RxNorm
zonisamide,RxNorm
norgestimate,RxNorm
terizidone,RxNorm
terlipressin,RxNorm
terodiline,RxNorm
tertatolol,RxNorm
benazepril,RxNorm
benzophenone,RxNorm
benzthiazide,RxNorm
thiobutabarbital,RxNorm
thioproperazine,RxNorm
Tolnaftate,RxNorm
tetrazepam,RxNorm
tetroxoprim,RxNorm
thenyldiamine,RxNorm
torsemide,RxNorm
phenacemide,RxNorm
phendimetrazine,RxNorm
Sorbitol,RxNorm
Tinidazole,RxNorm
Tolonium chloride,RxNorm
Tolperisone,RxNorm
normethadone,RxNorm
cathine,RxNorm
Phenylbutazone,RxNorm
phensuximide,RxNorm
rituximab,RxNorm
rivastigmine,RxNorm
Penicillin,RxNorm
marbofloxacin,RxNorm
orange allergenic extract,RxNorm
scallop allergenic extract,RxNorm
pitch pine pollen extract,RxNorm
plum allergenic extract,RxNorm
sesame seed allergenic extract,RxNorm
post oak pollen extract,RxNorm
slash pine pollen extract,RxNorm
paper birch pollen extract,RxNorm
tapioca starch allergenic extract,RxNorm
Algal fungi allergenic extract,RxNorm
Arabic gum allergenic extract,RxNorm
Scotch broom pollen extract,RxNorm
black locust pollen extract,RxNorm
Khuskia oryzae allergenic extract,RxNorm
ormetoprim,RxNorm
Sydney golden wattle pollen extract,RxNorm
Trichophyton mentagrophytes antigen,RxNorm
black pepper allergenic extract,RxNorm
chickpea allergenic extract,RxNorm
dendryphiella vinosa allergenic extract,RxNorm
denosumab,RxNorm
cochliobolus spicifer allergenic extract,RxNorm
epidermophyton floccosum allergenic extract,RxNorm
scrub pine pollen extract,RxNorm
"Influenza Virus Vaccine, Inactivated A-California-07-2009 X-181 (H1N1) strain",RxNorm
Cladosoprium cladosporioides allergenic extract,RxNorm
Cladosporium cladosporioides allergenic extract,RxNorm
melarsomine,RxNorm
CALCIUM AMINO ACID CHELATE,RxNorm
Canada goldenrod pollen extract,RxNorm
western white pine pollen extract,RxNorm
western wheatgrass pollen extract,RxNorm
Fenbendazole,RxNorm
Crotalus adamanteus antivenin,RxNorm
Crotalus atrox antivenin,RxNorm
Crotalus scutulatus antivenin,RxNorm
Humicola grisea extract,RxNorm
cultivated rye grass pollen extract,RxNorm
dabigatran etexilate,RxNorm
Italian rye grass pollen extract,RxNorm
Jerusalem oak pollen extract,RxNorm
Tylosin,RxNorm
black imported fire ant allergenic extract,RxNorm
okra allergenic extract,RxNorm
olmesartan,RxNorm
oregano allergenic extract,RxNorm
oxibendazole,RxNorm
white pepper allergenic extract,RxNorm
alcaftadine,RxNorm
Largemouth bass allergenic extract,RxNorm
ponazuril,RxNorm
pork allergenic extract,RxNorm
rat skin extract,RxNorm
strawberry allergenic extract,RxNorm
butylscopolamine,RxNorm
soybean allergenic extract,RxNorm
Palm Oil,RxNorm
tall oat grass pollen extract,RxNorm
southern ragweed pollen extract,RxNorm
"Influenza Virus Vaccine, Inactivated B-Brisbane-60-2008 strain",RxNorm
pistachio nut allergenic extract,RxNorm
sweet vernal grass pollen extract,RxNorm
Rhodotorula rubra allergenic extract,RxNorm
Apiospora montagnei allergenic extract,RxNorm
sugar maple pollen extract,RxNorm
watercress allergenic extract,RxNorm
sugarcane allergenic extract,RxNorm
codfish allergenic extract,RxNorm
enrofloxacin,RxNorm
cabbage allergenic extract,RxNorm
Syncephalastrum racemosum allergenic extract,RxNorm
Fusarium compactum extract,RxNorm
Absidia ramosa extract,RxNorm
Linagliptin,RxNorm
Aminopentamide,RxNorm
Aspergillus flavus allergenic extract,RxNorm
Aspergillus niger var. niger allergenic extract,RxNorm
tesamorelin,RxNorm
cornstarch,RxNorm
Aspergillus terreus extract,RxNorm
Amprolium,RxNorm
Mycocladus corymbiferus extract,RxNorm
American house dust mite extract,RxNorm
6-O-palmitoylascorbic acid,RxNorm
Douglas fir pollen extract,RxNorm
Ascorbate Manganese,RxNorm
Bifidobacterium lactis,RxNorm
Bifidobacterium longum,RxNorm
shrimp allergenic extract,RxNorm
orbifloxacin,RxNorm
lurasidone,RxNorm
boceprevir,RxNorm
belatacept,RxNorm
weakleaf bur ragweed pollen extract,RxNorm
domestic goat hair extract,RxNorm
ipilimumab,RxNorm
clam allergenic extract,RxNorm
smooth sumac pollen extract,RxNorm
ferrous bisglycinate,RxNorm
POMEGRANATE FRUIT EXTRACT,RxNorm
firocoxib,RxNorm
lima bean allergenic extract,RxNorm
ceftaroline,RxNorm
Epicoccum nigrum extract,RxNorm
broccoli allergenic extract,RxNorm
Japanese black pine pollen extract,RxNorm
date allergenic extract,RxNorm
cultivated mushroom allergenic extract,RxNorm
coffee fruit preparation,RxNorm
cocklebur extract,RxNorm
tuna allergenic extract,RxNorm
red delicious apple allergenic extract,RxNorm
liraglutide,RxNorm
lobster allergenic extract,RxNorm
mung bean allergenic extract,RxNorm
brazil nut allergenic extract,RxNorm
azilsartan,RxNorm
Neisseria meningitidis serogroup Y oligosaccharide diphtheria CRM197 protein conjugate vaccine,RxNorm
Mexican tea pollen extract,RxNorm
Acremonium strictum allergenic extract,RxNorm
loblolly pine pollen extract,RxNorm
lodgepole pine pollen extract,RxNorm
tag alder pollen extract,RxNorm
Microsporum audouinii allergenic extract,RxNorm
microsporum canis allergenic extract,RxNorm
jack pine pollen extract,RxNorm
wheat rust extract,RxNorm
icatibant,RxNorm
corn allergenic extract,RxNorm
cow milk allergenic extract,RxNorm
crab allergenic extract,RxNorm
onion allergenic extract,RxNorm
orange pollen extract,RxNorm
creeping bentgrass pollen extract,RxNorm
Bupivacaine liposome,RxNorm
Indian wormwood sage pollen extract,RxNorm
"Influenza Virus Vaccine, Inactivated A-California-07-2009 X-179A (H1N1) strain",RxNorm
flaxseed allergenic extract,RxNorm
telaprevir,RxNorm
belimumab,RxNorm
parakeet feather allergenic extract,RxNorm
bronopol,RxNorm
potassium citrate,RxNorm
Tolmetin,RxNorm
pamabrom,RxNorm
rofecoxib,RxNorm
chlorthenoxazin,RxNorm
piprozoline,RxNorm
pirbuterol,RxNorm
bioallethrin,RxNorm
salmon oil,RxNorm
phenyl salicylate,RxNorm
Samarium SM 153 lexidronam,RxNorm
sangre de grado,RxNorm
sargramostim,RxNorm
valdecoxib,RxNorm
valganciclovir,RxNorm
Prothionamide,RxNorm
pirenoxine,RxNorm
Ribavirin,RxNorm
Prajmaline,RxNorm
Sucralfate,RxNorm
Ruta graveolens preparation,RxNorm
Rutin,RxNorm
Saw palmetto extract,RxNorm
Roxithromycin,RxNorm
s typhi (ty-2 strain),RxNorm
potassium phosphate,RxNorm
propicillin,RxNorm
sulfanilylurea,RxNorm
sulfathiazole,RxNorm
padimate-O,RxNorm
Vitamin B Complex,RxNorm
Vitamin B6,RxNorm
aceprometazine,RxNorm
tocophersolan,RxNorm
tofisopam,RxNorm
tolcapone,RxNorm
Uracil Mustard,RxNorm
Uranium,RxNorm
Suprofen,RxNorm
"TOCOPHERYL ACID SUCCINATE,D-ALPHA",RxNorm
TORMENTIL,RxNorm
TOXICODENDRON Preparation,RxNorm
TRICARBAURINIUM,RxNorm
TRIETHANOLAMINE POLYPEPTIDE OLEATE CONDENSATE,RxNorm
TRIMETHOXYBENZENE,RxNorm
trisodium citrate,RxNorm
Propafenone,RxNorm
Quercetin,RxNorm
Scarlet Red,RxNorm
Schizandra preparation,RxNorm
rosemary oil,RxNorm
rosiglitazone,RxNorm
potassium sulfate,RxNorm
pralidoxime,RxNorm
sultopride,RxNorm
Sunflower Oil,RxNorm
tartaric acid,RxNorm
olopatadine,RxNorm
Technetium Tc 99m Disofenin,RxNorm
pangamic acid,RxNorm
pantethine,RxNorm
reproterol,RxNorm
carbazochrome,RxNorm
carbetapentane,RxNorm
pimethixene,RxNorm
veralipride,RxNorm
policosanol,RxNorm
polyestradiol,RxNorm
pegaspargase,RxNorm
polynoxylin,RxNorm
potassium bicarbonate,RxNorm
Rolitetracycline,RxNorm
Soy Proteins,RxNorm
Rilpivirine,RxNorm
dodecylbenzenesulfonic acid,RxNorm
licorice allergenic extract,RxNorm
lime allergenic extract,RxNorm
osage orange pollen extract,RxNorm
littleseed canary grass pollen extract,RxNorm
North American coral snake antivenin,RxNorm
Northern pike allergenic extract,RxNorm
Passalora fulva extract,RxNorm
Phoma glomerata allergenic extract,RxNorm
Broad leaved paperbark pollen extract,RxNorm
pimobendan,RxNorm
Ellagic Acid,RxNorm
Vemurafenib,RxNorm
artichoke allergenic extract,RxNorm
broomweed pollen extract,RxNorm
Moxidectin,RxNorm
nimesulide,RxNorm
naringin,RxNorm
nateglinide,RxNorm
mecysteine,RxNorm
modified fluid gelatins,RxNorm
dihydrocodeine,RxNorm
gemcitabine,RxNorm
dexchlorpheniramine,RxNorm
ferrous lactate,RxNorm
gepefrine,RxNorm
glibornuride,RxNorm
glimepiride,RxNorm
fosamprenavir,RxNorm
fosfestrol,RxNorm
Methotrexate,RxNorm
Phenindione,RxNorm
Feprazone,RxNorm
Prenylamine,RxNorm
Prilocaine,RxNorm
myrtecaine,RxNorm
myrtol,RxNorm
dehydroemetine,RxNorm
dehydrosanol,RxNorm
denileukin diftitox,RxNorm
deserpidine,RxNorm
Hydroxocobalamin,RxNorm
Josamycin,RxNorm
lanreotide,RxNorm
lidamidine,RxNorm
limonene,RxNorm
linezolid,RxNorm
Lead,RxNorm
Lecithin,RxNorm
S-Adenosylmethionine,RxNorm
Ouabain,RxNorm
Potassium Sorbate,RxNorm
MAGNESIUM GLUCONATE,RxNorm
Paroxypropione,RxNorm
Norepinephrine,RxNorm
Molybdenum,RxNorm
Pefloxacin,RxNorm
natalizumab,RxNorm
Metipranolol,RxNorm
lornoxicam,RxNorm
famciclovir,RxNorm
Ketorolac,RxNorm
Pau d'arco preparation,RxNorm
Prednisone,RxNorm
lavender oil,RxNorm
leflunomide,RxNorm
methylbenzethonium,RxNorm
fenticonazole,RxNorm
Soy protein-iron complex,RxNorm
Soybean Oil,RxNorm
tazobactam,RxNorm
technetium Tc 99m bicisate,RxNorm
teferrol,RxNorm
zinc bromide,RxNorm
zinc carbonate,RxNorm
zinc chloride,RxNorm
zinc hydroxide,RxNorm
potassium chromate(VI),RxNorm
trichlorofluoromethane,RxNorm
oxetorone,RxNorm
potassium iodate,RxNorm
potassium nitrate,RxNorm
rilmenidine,RxNorm
rimexolone,RxNorm
rimiterol,RxNorm
sodium sulfate,RxNorm
chlorphenoxamine,RxNorm
chlorproethazine,RxNorm
beta Sitosterol,RxNorm
propyphenazone,RxNorm
butyl chloride,RxNorm
bentiromide,RxNorm
bentoquatam,RxNorm
pantoprazole,RxNorm
benfluorex,RxNorm
benorilate,RxNorm
benphothiamine,RxNorm
clomocycline,RxNorm
clopidogrel,RxNorm
cloprednol,RxNorm
calcium polycarbophil,RxNorm
Terazosin,RxNorm
terbinafine,RxNorm
oxybutynin,RxNorm
Diltiazem maleate,RxNorm
Wasp Venoms,RxNorm
Water,RxNorm
Watercress preparation,RxNorm
Watermelon Preparation,RxNorm
Wheat germ oil,RxNorm
pegvisomant,RxNorm
Barium Sulfate,RxNorm
Amifostine,RxNorm
Amikacin,RxNorm
Bentonite,RxNorm
Anthralin,RxNorm
Buserelin,RxNorm
Beets preparation,RxNorm
Apazone,RxNorm
Amphotericin,RxNorm
Bee pollen,RxNorm
Apis mellifera preparation,RxNorm
Apomorphine,RxNorm
"Linoleic Acids, Conjugated",RxNorm
Linseed Oil,RxNorm
Lipase,RxNorm
Acetaminophen,RxNorm
Calcium Fluoride,RxNorm
Calcium Glucarate,RxNorm
Calcium Gluconate,RxNorm
ferric ammonium citrate,RxNorm
nifurzide,RxNorm
monooctanoin,RxNorm
monosulfiram,RxNorm
dihydroxyaluminum sodium carbonate,RxNorm
Mifepristone,RxNorm
Perflutren,RxNorm
PHENYLEHRINE,RxNorm
Pentostatin,RxNorm
Pentoxifylline,RxNorm
ifenprodil,RxNorm
Interferon Alfa-2b,RxNorm
Juniperus communis whole extract,RxNorm
Inosine Pranobex,RxNorm
fenethylline,RxNorm
fenipentol,RxNorm
S-benzoylmercaptoacetyltriglycine,RxNorm
kebuzone,RxNorm
Paromomycin,RxNorm
Paroxetine,RxNorm
OspA protein,RxNorm
Selenomethionine,RxNorm
Selenomethionine Se 75,RxNorm
Medazepam,RxNorm
Medigoxin,RxNorm
Mirtazapine,RxNorm
decamethrin,RxNorm
deferiprone,RxNorm
deflazacort,RxNorm
epomediol,RxNorm
eprazinone,RxNorm
eprosartan,RxNorm
eptifibatide,RxNorm
medifoxamine,RxNorm
nonivamide,RxNorm
theodrenaline,RxNorm
norelgestromin,RxNorm
norfenefrine,RxNorm
Iron Carbonyl,RxNorm
lanatoside C,RxNorm
isometheptene,RxNorm
dopexamine,RxNorm
dorzolamide,RxNorm
homatropine,RxNorm
dihydroxyaluminum aminoacetate,RxNorm
colesevelam,RxNorm
Nystatin,RxNorm
Ofloxacin,RxNorm
citiolone,RxNorm
clebopride,RxNorm
Parsley extract,RxNorm
Passiflora incarnata extract,RxNorm
Passion flower extract,RxNorm
iodoxamid,RxNorm
Nomifensine,RxNorm
Nitroprusside,RxNorm
Nitrous Oxide,RxNorm
Ornipressin,RxNorm
Mesoridazine,RxNorm
Nialamide,RxNorm
Nicardipine,RxNorm
Norethynodrel,RxNorm
lenograstim,RxNorm
lepirudin,RxNorm
meglumine ioxithalamate,RxNorm
meloxicam,RxNorm
MEDORRHINUM,RxNorm
MEFENIDRAMIUM,RxNorm
MEGLUMINE BENZOATE,RxNorm
Dandelion Extract,RxNorm
Dandelion root extract,RxNorm
Ammonium,RxNorm
BISMUTH CHLORIDE OXIDE,RxNorm
Aspergillus terreus allergenic extract,RxNorm
Alseroxylon,RxNorm
alteplase,RxNorm
Borage extract,RxNorm
Benzalkonium,RxNorm
Lodoxamide,RxNorm
Lofepramine,RxNorm
Lomustine,RxNorm
Bromocriptine,RxNorm
house fly allergenic extract,RxNorm
Androstenedione,RxNorm
Choline Magnesium Trisalicyclate,RxNorm
corn smut allergenic extract,RxNorm
Aminacrine,RxNorm
Amsacrine,RxNorm
Amyl Nitrite,RxNorm
Amylases,RxNorm
CHLORPHENINDIONE,RxNorm
CHROMIUM ASPARTATE,RxNorm
CHROMIUM CITRATE,RxNorm
CHROMIUM PICOLINATE,RxNorm
Aztreonam,RxNorm
Benserazide,RxNorm
CHAMOMILE FLOWERS,RxNorm
Licorice,RxNorm
trepibutone,RxNorm
3-Iodobenzylguanidine,RxNorm
Acetate,RxNorm
Alcuronium,RxNorm
Aldesleukin,RxNorm
Alendronate,RxNorm
Calcium Aspartate,RxNorm
Amodiaquine,RxNorm
Amorolfine,RxNorm
"BOTULISM ANTITOXIN TRIV A,B&E",RxNorm
BUSHMASTER VENOM,RxNorm
BUTCHER'S BROOM Preparation,RxNorm
oat smut allergenic extract,RxNorm
Aminopyrine,RxNorm
Amoxicillin,RxNorm
Losartan,RxNorm
Anise oil,RxNorm
Amphotericin B,RxNorm
octisalate,RxNorm
Dacarbazine,RxNorm
Daclizumab,RxNorm
Dactinomycin,RxNorm
Benzylpenicilloyl polylysine,RxNorm
Bepridil,RxNorm
CAPSICUM OLEORESIN,RxNorm
Buckthorn preparation,RxNorm
Budesonide,RxNorm
Diphenoxylate,RxNorm
Diphtheria Antitoxin,RxNorm
Calcitriol,RxNorm
Chlorambucil,RxNorm
Cetrimides,RxNorm
Clarithromycin,RxNorm
Echinacea Purpurea Aerial Parts Extract,RxNorm
Echinacea Root Extract,RxNorm
Fluorescein,RxNorm
"Hepatitis A Vaccine, Inactivated",RxNorm
Iopamidol,RxNorm
clorazepate,RxNorm
Bryonia preparation,RxNorm
Buchu,RxNorm
Clomipramine,RxNorm
Clioquinol,RxNorm
Diloxanide,RxNorm
Diltiazem,RxNorm
Cascara sagrada,RxNorm
Cefadroxil,RxNorm
BELLADONNA LEAF,RxNorm
compound benzoin tincture (USP),RxNorm
BISMUTH CAMPHOCARBONATE,RxNorm
BISMUTH DIPROPYLACETATE,RxNorm
Aspirin,RxNorm
Albendazole,RxNorm
Atenolol,RxNorm
Lindane,RxNorm
Azithromycin,RxNorm
Plantago major leaf extract,RxNorm
Plantago major seed extract,RxNorm
Plantago ovata seed extract,RxNorm
Platycladus orientalis leaf extract,RxNorm
Platycladus orientalis seed extract,RxNorm
Platycodon grandiflorum leaf extract,RxNorm
Platycodon grandiflorum root extract,RxNorm
PEG-8 DIMETHICONE,RxNorm
"immunoglobulin M, human",RxNorm
PENTAERYTHRITYL TETRAOLEATE,RxNorm
Phellinus linteus whole extract,RxNorm
MUTANASE SCHIZOSACCHAROMYCES POMBE,RxNorm
Piper methysticum whole extract,RxNorm
POLYESTER-10,RxNorm
"POLYESTER-8 (1400 MW, CYANODIPHENYLPROPENOYL CAPPED)",RxNorm
POLYETHYLENE GLYCOL 1000000,RxNorm
POLYETHYLENE GLYCOL 600000,RxNorm
Ambrosia peruviana leaf extract,RxNorm
Allura Red AC Dye,RxNorm
Aloe ferox leaf preparation,RxNorm
American elderberry extract,RxNorm
Alpinia galanga leaf extract,RxNorm
Alpinia officinarum leaf extract,RxNorm
Alpinia zerumbet leaf extract,RxNorm
Amino Methacrylate Copolymer,RxNorm
Achyranthes bidentata root extract,RxNorm
Acmella oleracea flower extract,RxNorm
Aconitum carmichaelii root extract,RxNorm
Aconitum napellus extract,RxNorm
